GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,42000213,7,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,11,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,16,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,11,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,11,14,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-74,120,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,12,202681,Kyrie Irving,1610612751,Brooklyn Nets,1,11,3,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,62,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,14,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,10,55,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,25,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,16,203925,Joe Harris,1610612751,Brooklyn Nets,1,10,45,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,44,32,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,18,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,10,41,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,20,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,10,38,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,24,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,21,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,10,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-52,254,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,23,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,10,4,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,67,268,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,31,201142,Kevin Durant,1610612751,Brooklyn Nets,1,9,28,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-41,113,1,0,20210610,MIL,BKN
