match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,data_version,shot_fidelity_version,xy_fidelity_version
3775648,2021-02-28,15:00:00.000,England - FA Women's Super League,2020/2021,Aston Villa,Arsenal WFC,0,4,available,scheduled,2021-03-01T07:42:29.838322,2021-06-13T16:17:31.694,11,Regular Season,Banks''s Stadium,Lisa Benn,1.1.0,2,2
3775609,2021-04-28,20:30:00.000,England - FA Women's Super League,2020/2021,Arsenal WFC,West Ham United LFC,2,0,available,scheduled,2021-05-28T15:32:57.267,2021-06-13T16:17:31.694,13,Regular Season,Meadow Park (Borehamwood),Emily Heaslip,1.1.0,2,2
3775633,2021-02-06,13:30:00.000,England - FA Women's Super League,2020/2021,Aston Villa,Tottenham Hotspur Women,1,0,available,scheduled,2021-04-29T05:55:14.897296,2021-06-13T16:17:31.694,14,Regular Season,Banks''s Stadium,Jane Simms,1.1.0,2,2
3775570,2021-03-28,13:30:00.000,England - FA Women's Super League,2020/2021,Brighton & Hove Albion WFC,Everton LFC,0,5,available,scheduled,2021-04-13T21:46:33.264800,2021-06-13T16:17:31.694,18,Regular Season,The People''s Pension Stadium,Christina Hattersley,1.1.0,2,2
3775581,2021-03-28,15:30:00.000,England - FA Women's Super League,2020/2021,Chelsea FCW,Aston Villa,2,0,available,scheduled,2021-03-31T04:18:30.437117,2021-06-13T16:17:31.694,18,Regular Season,The Cherry Red Records Stadium,Sarah Garratt,1.1.0,2,2
3775579,2021-05-02,15:00:00.000,England - FA Women's Super League,2020/2021,Reading WFC,Brighton & Hove Albion WFC,3,2,available,scheduled,2021-05-05T18:33:52.405043,2021-06-13T16:17:31.694,21,Regular Season,Madejski Stadium,Jane Simms,1.1.0,2,2
3775544,2021-05-02,13:30:00.000,England - FA Women's Super League,2020/2021,Aston Villa,West Ham United LFC,0,0,available,scheduled,2021-05-05T10:24:15.578089,2021-06-13T16:17:31.694,21,Regular Season,Villa Park (Birmingham),Rebecca Welch,1.1.0,2,2
3775622,2021-04-25,13:30:00.000,England - FA Women's Super League,2020/2021,Manchester United,Tottenham Hotspur Women,4,1,available,scheduled,2021-04-29T16:54:42.691408,2021-06-13T16:17:31.694,20,Regular Season,Leigh Sports Village Stadium,Christina Hattersley,1.1.0,2,2
3775553,2020-11-08,15:00:00.000,England - FA Women's Super League,2020/2021,Birmingham City WFC,West Ham United LFC,1,2,available,scheduled,2021-04-28T07:08:31.972703,2021-06-13T16:17:31.694,6,Regular Season,SportNation.bet Stadium,Richie Watkins,1.1.0,2,2
3775584,2020-12-06,15:00:00.000,England - FA Women's Super League,2020/2021,Arsenal WFC,Birmingham City WFC,3,0,available,scheduled,2021-04-28T07:08:31.973962,2021-06-13T16:17:31.694,8,Regular Season,Meadow Park (Borehamwood),Christina Hattersley,1.1.0,2,2
3775618,2020-10-11,15:00:00.000,England - FA Women's Super League,2020/2021,Reading WFC,Birmingham City WFC,0,1,available,scheduled,2021-04-28T07:08:31.975341,2021-06-13T16:17:31.694,4,Regular Season,Madejski Stadium,Sarah Garratt,1.1.0,2,2
3775641,2020-11-14,15:30:00.000,England - FA Women's Super League,2020/2021,Aston Villa,Birmingham City WFC,0,1,available,scheduled,2021-04-28T07:08:31.975376,2021-06-13T16:17:31.694,7,Regular Season,Villa Park (Birmingham),Rebecca Welch,1.1.0,2,2
3775636,2020-10-18,15:00:00.000,England - FA Women's Super League,2020/2021,Bristol City WFC,Birmingham City WFC,0,4,available,scheduled,2021-07-01T18:03:38.571,2021-06-13T16:17:31.694,5,Regular Season,Twerton Park Stadium,Stacey Pearson,1.1.0,2,2
3775653,2021-03-11,20:00:00.000,England - FA Women's Super League,2020/2021,Birmingham City WFC,Everton LFC,0,4,available,scheduled,2021-04-28T07:08:31.975473,2021-06-13T16:17:31.694,9,Regular Season,St Georges Park National Football Centre,Lisa Benn,1.1.0,2,2
3775654,2021-03-28,17:00:00.000,England - FA Women's Super League,2020/2021,Birmingham City WFC,Bristol City WFC,1,1,available,scheduled,2021-04-28T07:08:31.975507,2021-06-13T16:17:31.694,18,Regular Season,SportNation.bet Stadium,Kirsty Dowle,1.1.0,2,2
