Name,Played,Won,Draw,Lost,For,Against,Difference,Points,Form
Hampstead & Westminster W1,9,9,0,0,24,9,15,27,W W W W W
East Grinstead W1,7,6,0,1,23,7,16,18,W W W W W
Wimbledon W1,9,5,2,2,29,9,20,17,D D L W W
Surbiton W1,7,4,3,0,18,8,10,15,D W D W W
Clifton Robinsons W1,8,3,3,2,13,14,-1,12,D W W W L
Beeston W1,8,3,1,4,11,14,-3,10,L D W L W
Buckingham W1,8,1,3,4,10,19,-9,6,D L L L L
University of Birmingham W1,8,1,3,4,10,20,-10,6,L D D L L
Loughborough Students W1,8,2,0,6,12,26,-14,6,L L W L L
Holcombe W1,8,1,2,5,6,14,-8,5,D L L L W
Swansea W1,8,0,1,7,7,23,-16,1,L L L L L
