id,index,match_id,competition_id,season_id,period,timestamp,minute,second,duration,under_pressure,type.name,play_pattern.name,possession_team.name,team.name,player.name,pass.length,pass.recipient.name,pass.height.name,pass.outcome.name,Start_X,Start_Y,Pass_Y,Pass_X,Carry_Y,Carry_X,deepCompletion,End_X,End_Y
45b6e75f-01ac-4de0-8d25-452259ce905f,14,3764234,37,90,1,00:00:09.818,0,9,1.579466,True,Carry,From Kick Off,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,106.8,11.3,,,20.5,112.4,True,112.4,20.5
1a8cdcc7-fd42-408c-b57f-65a1e694df4b,169,3764234,37,90,1,00:03:12.070,3,12,0.102119,True,Carry,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,109.1,20.9,,,23.0,112.6,True,112.6,23.0
c8d3da54-47d9-4e11-ba08-034e7af5d36c,1588,3764234,37,90,1,00:37:40.943,37,40,0.736735,True,Carry,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,92.7,30.0,,,32.7,99.6,True,99.6,32.7
16cc0b84-8246-4cbb-a188-28344372eab4,3191,3764234,37,90,2,00:33:48.682,78,48,1.265445,,Pass,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,16.844286,Samantha June Mewis,Ground Pass,,98.2,63.9,47.2,100.4,,,True,100.4,47.2
f52d024f-020b-45b0-a286-7d9fde4473a5,3610,3764234,37,90,2,00:44:14.224,89,14,3.364424,,Pass,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,46.483547,Georgia Stanway,Low Pass,,97.6,69.9,27.3,116.2,,,True,116.2,27.3
535abec7-c7a8-4519-a53d-5437ae069616,3737,3764234,37,90,2,00:47:36.344,92,36,1.372071,,Pass,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,26.617662,Samantha June Mewis,Low Pass,,116.6,66.0,41.9,105.3,,,True,105.3,41.9
e051704d-4bf2-4b7f-a67f-0a09cfe9ea4a,1057,3764241,37,90,1,00:26:20.199,26,20,1.542611,,Pass,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,31.046577,Ellen White,Low Pass,,106.0,72.9,41.9,104.3,,,True,104.3,41.9
583e7af1-b43d-4e6c-b42d-87d2c588fd3e,1477,3764241,37,90,1,00:35:25.417,35,25,2.443027,,Carry,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,103.1,3.6,,,20.6,114.5,True,114.5,20.6
aabe5ce4-feac-4067-ae51-207dc4b321aa,2111,3764241,37,90,2,00:06:24.386,51,24,2.335346,,Pass,From Free Kick,Manchester City WFC,Manchester City WFC,Chloe Kelly,56.70009,Stephanie Houghton,High Pass,,87.9,77.1,28.2,116.6,,,True,116.6,28.2
46af6335-069e-4568-a80a-1571465b9ae4,2329,3764241,37,90,2,00:12:43.298,57,43,2.153664,,Carry,From Goal Kick,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,101.4,8.1,,,23.0,113.3,True,113.3,23.0
6811f7b1-fed1-4e48-9d50-5bfb780f2924,2973,3764241,37,90,2,00:32:03.315,77,3,0.750981,,Pass,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,19.730686,Alex Greenwood,Ground Pass,,113.9,6.9,26.2,109.8,,,True,109.8,26.2
f6a0f708-10d3-4992-9926-287d3ab4a190,208,3775545,37,90,1,00:05:02.653,5,2,1.208265,True,Carry,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,101.1,23.0,,,32.6,101.3,True,101.3,32.6
4f149ad3-1adc-4b8b-817f-33b3bfd6210c,837,3775545,37,90,1,00:20:32.101,20,32,2.643439,True,Carry,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,105.9,20.3,,,30.8,105.4,True,105.4,30.8
af5099c5-57a3-4d0f-98dc-528906d2f487,1380,3775545,37,90,1,00:39:12.216,39,12,0.708037,,Pass,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,19.318903,Alex Greenwood,Ground Pass,,111.0,3.1,22.2,108.1,,,True,108.1,22.2
6cc34281-52e8-498b-9407-ad405b2e8264,1780,3775545,37,90,2,00:07:30.927,52,30,2.174417,True,Carry,From Free Kick,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,96.3,19.4,,,27.2,102.3,True,102.3,27.2
f9d3a2a1-e27e-4bb2-a468-a0c9cfa5a3b4,1289,3775547,37,90,1,00:39:52.208,39,52,1.089247,,Pass,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,27.166155,Samantha June Mewis,High Pass,,117.0,70.4,43.4,114.0,,,True,114.0,43.4
3ecab981-f5a3-4313-bb4e-5820b1d83655,1748,3775547,37,90,2,00:05:32.722,50,32,0.997249,,Pass,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,10.113852,Samantha June Mewis,Ground Pass,,104.9,57.2,47.4,102.4,,,True,102.4,47.4
3616d17b-bf0b-4440-97b1-e60da4925e62,51,3775564,37,90,1,00:01:04.640,1,4,5.110743,True,Carry,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,92.0,70.4,,,58.4,108.8,True,108.8,58.4
893c1691-84dd-4ae5-92ac-1648ed672737,437,3775564,37,90,1,00:11:18.546,11,18,1.178158,,Pass,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,20.717142,Caroline Weir,Ground Pass,,105.0,56.0,35.4,102.8,,,True,102.8,35.4
84c6302d-2209-491f-8a94-ea5b8e454c34,465,3775564,37,90,1,00:12:14.112,12,14,1.839969,,Pass,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,15.654073,Lucy Bronze,Ground Pass,,98.7,54.3,42.6,109.1,,,True,109.1,42.6
b5a47ce6-2f35-44b6-aa25-52b31c28186b,691,3775564,37,90,1,00:17:49.602,17,49,1.420596,,Pass,From Free Kick,Reading WFC,Manchester City WFC,Chloe Kelly,33.208584,,High Pass,Out,104.0,64.8,35.7,120.0,,,True,120.0,35.7
2e8c509b-6b8b-4fc5-bf55-277ce29b0b43,1226,3775564,37,90,1,00:33:45.875,33,45,1.159796,,Pass,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,24.259638,Georgia Stanway,Ground Pass,,111.7,63.7,39.5,113.4,,,True,113.4,39.5
77c0516b-1642-4940-9e21-9a44bcd9237a,1476,3775564,37,90,1,00:43:19.927,43,19,2.709627,True,Carry,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,109.8,62.6,,,51.5,108.6,True,108.6,51.5
bfd42b5b-5cef-4a75-949f-09b656396b8f,2172,3775564,37,90,2,00:11:26.323,56,26,3.103581,,Carry,From Throw In,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,112.6,8.5,,,22.6,107.0,True,107.0,22.6
4a52f5bc-4610-4bce-b598-2c92a80a203d,2298,3775564,37,90,2,00:14:20.523,59,20,1.087256,,Pass,From Goal Kick,Manchester City WFC,Manchester City WFC,Chloe Kelly,11.335784,Georgia Stanway,Ground Pass,,95.1,34.0,33.1,106.4,,,True,106.4,33.1
a5ffe031-9533-4bb4-b163-4a7911346ff0,92,3775574,37,90,1,00:02:40.460,2,40,1.346651,True,Carry,Regular Play,Manchester City WFC,Manchester City WFC,Chloe Kelly,,,,,111.4,67.5,,,59.8,117.4,True,117.4,59.8
