Region,Life Expectancy - Interpolated,Year,Quadrant Region,African Region,Rank,Country Name
Europe,79.650002,2008,Europe,,1,Country 1
Africa,67.769997,2016,Africa,Eastern Africa,2,Country 2
South-East Asia,77.410004,2016,Asia and Oceania,,3,Country 3
Europe,71.910004,1999,Asia and Oceania,,4,Country 4
Africa,67.339996,2016,Africa,Western Africa,5,Country 5
Africa,70.059998,2001,Africa,Western Africa,6,Country 6
Americas,77.230003,1997,Americas,,7,Country 7
Africa,65.160004,2015,Africa,Central Africa,8,Country 8
South-East Asia,63.950001,1999,Asia and Oceania,,9,Country 9
Africa,62.59,2013,Africa,Southern Africa,10,Country 10
Africa,63.84,2012,Africa,Central Africa,11,Country 11
Africa,59.310001,2002,Africa,Western Africa,12,Country 12
Africa,49.040001,1999,Africa,Western Africa,13,Country 13
Europe,66.540001,2001,Asia and Oceania,,14,Country 14
Americas,79.519997,2011,Americas,,15,Country 15
Europe,78.019997,2000,Europe,,16,Country 16
Africa,59.360001,2007,Africa,Central Africa,8,Country 8
Western Pacific,60.919998,2006,Asia and Oceania,,17,Country 17
Europe,74.43,1999,Europe,,18,Country 18
Europe,69.040001,2011,Asia and Oceania,,19,Country 19
Americas,77.169998,2002,Americas,,20,Country 20
Eastern Mediterranean,65.57,2007,Africa,Northern Africa,22,Country 22
Europe,70.089996,2008,Europe,,23,Country 23
Europe,80.209999,2011,Europe,,24,Country 24
Africa,73.169998,2014,Africa,Western Africa,6,Country 6
Americas,73.330002,2001,Americas,,25,Country 25
South-East Asia,77.129997,2012,Asia and Oceania,,26,Country 26
South-East Asia,71.089996,2014,Asia and Oceania,,27,Country 27
Europe,72.220001,2001,Europe,,28,Country 28
Europe,68.300003,2007,Europe,,29,Country 29
Africa,54.310001,2009,Africa,Western Africa,13,Country 13
Africa,59.369999,1999,Africa,Central Africa,11,Country 11
Eastern Mediterranean,64.650002,2008,Asia and Oceania,,30,Country 30
Africa,58.040001,2009,Africa,Western Africa,31,Country 31
Eastern Mediterranean,75.900002,2013,Africa,Northern Africa,32,Country 32
Europe,80.150002,2003,Europe,,33,Country 33
Africa,46.630001,1998,Africa,Eastern Africa,2,Country 2
Europe,78.290001,1999,Asia and Oceania,,34,Country 34
Africa,52.220001,2000,Africa,Western Africa,35,Country 35
Europe,76.660004,2005,Asia and Oceania,,4,Country 4
South-East Asia,64.260002,2006,Asia and Oceania,,36,Country 36
Europe,80.580002,2011,Europe,,37,Country 37
Africa,51.029999,1998,Africa,Western Africa,38,Country 38
Europe,78.040001,2001,Europe,,1,Country 1
Africa,58.619999,2016,Africa,Eastern Africa,39,Country 39
South-East Asia,70.849998,2011,Asia and Oceania,,40,Country 40
Europe,78.82,2004,Europe,,37,Country 37
Western Pacific,82.330002,2012,Asia and Oceania,,41,Country 41
South-East Asia,70.050003,2014,Asia and Oceania,,43,Country 43
Americas,71.800003,2011,Americas,,44,Country 44
Africa,57.669998,2011,Africa,Central Africa,45,Country 45
Western Pacific,74.080002,2007,Asia and Oceania,,46,Country 46
Africa,59.200001,2013,Africa,Eastern Africa,47,Country 47
Africa,76.699997,2011,Africa,Northern Africa,48,Country 48
Europe,72.360001,2005,Europe,,49,Country 49
Africa,45.439999,2009,Africa,Southern Africa,50,Country 50
Europe,73.040001,2009,Europe,,51,Country 51
Eastern Mediterranean,74.029999,2009,Asia and Oceania,,52,Country 52
Europe,64.730003,2004,Asia and Oceania,,53,Country 53
Africa,55.950001,2004,Africa,Eastern Africa,2,Country 2
Europe,69.919998,2001,Europe,,54,Country 54
Africa,55.630001,2013,Africa,Eastern Africa,39,Country 39
Europe,79.75,2005,Asia and Oceania,,34,Country 34
Eastern Mediterranean,70.900002,2000,Africa,Northern Africa,55,Country 55
Europe,73.599998,2016,Europe,,23,Country 23
Europe,66.75,2004,Asia and Oceania,,56,Country 56
Europe,81.07,2007,Europe,,57,Country 57
Europe,80.400002,2010,Europe,,58,Country 58
Eastern Mediterranean,63.27,2009,Africa,Eastern Africa,59,Country 59
Eastern Mediterranean,76.779999,2006,Asia and Oceania,,60,Country 60
Europe,74.629997,2002,Europe,,61,Country 61
Africa,53.040001,1999,Africa,Central Africa,62,Country 62
South-East Asia,70,2007,Asia and Oceania,,9,Country 9
Africa,55.09,2011,Africa,Eastern Africa,63,Country 63
Europe,72.839996,2007,Europe,,64,Country 64
Africa,42.93,2006,Africa,Southern Africa,65,Country 65
Europe,80.160004,2008,Europe,,66,Country 66
Americas,79.309998,2005,Americas,,7,Country 7
Europe,73.910004,2000,Europe,,67,Country 67
Africa,57.970001,2008,Africa,Eastern Africa,68,Country 68
Africa,76.110001,2008,Africa,Northern Africa,48,Country 48
Europe,79.160004,2016,Asia and Oceania,,4,Country 4
Africa,63.169998,1999,Africa,Western Africa,5,Country 5
Eastern Mediterranean,53.48,2004,Asia and Oceania,,69,Country 69
Africa,46.529999,2010,Africa,Southern Africa,50,Country 50
Americas,74.760002,2007,Americas,,70,Country 70
Americas,76.389999,2009,Americas,,71,Country 71
Africa,59.580002,2014,Africa,Eastern Africa,47,Country 47
Western Pacific,73.660004,2004,Asia and Oceania,,46,Country 46
