match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,data_version,shot_fidelity_version,xy_fidelity_version
3847567,2022-07-31,18:00:00.000,Europe - UEFA Women's Euro,2022,England Women's,Germany Women's,2,1,available,available,2022-08-01T07:46:11.595364,2022-09-12T15:04:12.439476,6,Final,Wembley Stadium,Kateryna Monzul,1.1.0,2,2
3845506,2022-07-26,21:00:00.000,Europe - UEFA Women's Euro,2022,England Women's,Sweden Women's,4,0,available,available,2022-07-27T05:04:01.194362,2022-09-06T06:29:30.151649,5,Semi-finals,Bramall Lane,Esther Staubli,1.1.0,2,2
3835335,2022-07-15,21:00:00.000,Europe - UEFA Women's Euro,2022,Northern Ireland,England Women's,0,5,available,available,2022-07-16T19:09:14.646916,2022-08-25T15:50:02.843890,3,Group Stage,St. Mary''s Stadium,Esther Staubli,1.1.0,2,2
3835323,2022-07-09,18:00:00.000,Europe - UEFA Women's Euro,2022,Portugal Women's,Switzerland Women's,2,2,available,available,2022-07-10T04:20:56.124405,2022-08-29T19:19:33.588699,1,Group Stage,Leigh Sports Village Stadium,Jana Adamkova,1.1.0,2,2
3835325,2022-07-10,21:00:00.000,Europe - UEFA Women's Euro,2022,France Women's,Italy Women's,5,1,available,available,2022-07-12T01:33:06.679695,2022-09-04T19:01:10.410332,1,Group Stage,AESSEAL New York Stadium ,Rebecca Welch,1.1.0,2,2
3835324,2022-07-09,21:00:00.000,Europe - UEFA Women's Euro,2022,Netherlands Women's,Sweden Women's,1,1,available,available,2022-07-10T09:19:02.315358,2022-08-29T19:17:00.202011,1,Group Stage,Bramall Lane,Cheryl Foster,1.1.0,2,2
3835331,2022-07-13,18:00:00.000,Europe - UEFA Women's Euro,2022,Sweden Women's,Switzerland Women's,2,1,available,available,2022-07-14T19:58:05.964939,2022-08-25T19:03:09.037945,2,Group Stage,Bramall Lane,Marta Huerta de Aza,1.1.0,2,2
3835320,2022-07-07,21:00:00.000,Europe - UEFA Women's Euro,2022,Norway Women's,Northern Ireland,4,1,available,available,2022-07-08T03:16:52.813225,2022-08-25T10:44:36.086663,1,Group Stage,St. Mary''s Stadium,Lina Lehtovaara,1.1.0,2,2
3845507,2022-07-27,21:00:00.000,Europe - UEFA Women's Euro,2022,Germany Women's,France Women's,2,1,available,available,2022-07-30T15:52:27.561893,2022-08-25T21:30:18.952432,5,Semi-finals,Stadium MK,Cheryl Foster,1.1.0,2,2
3844387,2022-07-23,21:00:00.000,Europe - UEFA Women's Euro,2022,France Women's,Netherlands Women's,1,0,available,available,2022-07-24T07:53:04.561445,2022-08-29T20:59:06.480438,4,Quarter-finals,AESSEAL New York Stadium ,Ivana Martinčić,1.1.0,2,2
3844384,2022-07-20,21:00:00.000,Europe - UEFA Women's Euro,2022,England Women's,Spain Women's,2,1,available,available,2022-07-22T11:20:46.740009,2022-08-28T11:04:52.754223,4,Quarter-finals,The American Express Community Stadium,Stéphanie Frappart,1.1.0,2,2
3844385,2022-07-21,21:00:00.000,Europe - UEFA Women's Euro,2022,Germany Women's,Austria Women's,2,0,available,available,2022-07-22T11:22:46.631952,2022-08-04T12:00,4,Quarter-finals,Brentford Community Stadium,Rebecca Welch,1.1.0,2,2
3844386,2022-07-22,21:00:00.000,Europe - UEFA Women's Euro,2022,Sweden Women's,Belgium Women's,1,0,available,available,2022-07-23T04:15:00.963456,2022-08-26T00:43:22.824600,4,Quarter-finals,Leigh Sports Village Stadium,Kateryna Monzul,1.1.0,2,2
3835342,2022-07-18,21:00:00.000,Europe - UEFA Women's Euro,2022,Iceland Women's,France Women's,1,1,available,available,2022-07-19T07:22:31.745857,2022-09-13T17:04:11.418708,3,Group Stage,AESSEAL New York Stadium ,Jana Adamkova,1.1.0,2,2
3835337,2022-07-16,21:00:00.000,Europe - UEFA Women's Euro,2022,Denmark Women's,Spain Women's,0,1,available,available,2022-07-17T07:49:24.779125,2022-08-04T12:00,3,Group Stage,Brentford Community Stadium,Rebecca Welch,1.1.0,2,2
3835338,2022-07-16,21:00:00.000,Europe - UEFA Women's Euro,2022,WNT Finland,Germany Women's,0,3,available,available,2022-07-17T03:57:21.649616,2022-08-04T12:00,3,Group Stage,Stadium MK,Emikar Caldera Barrera,1.1.0,2,2
