Rank,Name,Points
1,Carlos Alcaraz,6820
2,Rafael Nadal,5770
3,Casper Ruud,5720
4,Stefanos Tsitsipas,5715
5,Novak Djokovic,5070
6,Andrey Rublev,3930
7,Felix Auger-Aliassime,3895
8,Daniil Medvedev,3860
9,Taylor Fritz,3545
10,Holger Rune,2876
11,Hubert Hurkacz,2860
12,Cameron Norrie,2575
13,Alexander Zverev,2560
14,Matteo Berrettini,2490
15,Pablo Carreno Busta,2420
16,Jannik Sinner,2375
17,Frances Tiafoe,2260
18,Marin Cilic,2060
19,Lorenzo Musetti,1925
20,Karen Khachanov,1885
21,Nick Kyrgios,1870
22,Denis Shapovalov,1830
23,Borna Coric,1760
24,Alex de Minaur,1710
25,Diego Schwartzman,1550
26,Roberto Bautista Agut,1545
27,Daniel Evans,1450
28,Miomir Kecmanovic,1420
29,Grigor Dimitrov,1395
30,Francisco Cerundolo,1383
31,Sebastian Korda,1325
32,Alejandro Davidovich Fokina,1280
33,Yoshihito Nishioka,1216
34,Botic van de Zandschulp,1205
35,Tommy Paul,1185
36,Alexander Bublik,1130
37,Reilly Opelka,1095
38,Albert Ramos-Vinolas,1075
39,Maxime Cressy,1021
40,Jack Draper,1010
41,Sebastian Baez,987
42,John Isner,980
43,Adrian Mannarino,971
44,Lorenzo Sonego,950
45,Arthur Rinderknech,947
46,Emil Ruusuvuori,941
47,Brandon Nakashima,927
48,Jenson Brooksby,920
49,Andy Murray,920
50,Benjamin Bonzi,911
51,Corentin Moutet,892
52,Aslan Karatsev,875
53,David Goffin,870
54,Alex Molcan,850
55,Marc-Andrea Huesler,846
56,Filip Krajinovic,845
57,Fabio Fognini,843
58,Pedro Martinez,810
59,Pedro Cachin,809
60,Marcos Giron,796
61,Tallon Griekspoor,789
62,Jaume Munar,777
63,Mackenzie McDonald,775
64,Quentin Halys,771
65,Constant Lestienne,760
66,J.J. Wolf,746
67,Richard Gasquet,740
68,Daniel Elahi Galan,735
69,Thiago Monteiro,729
70,Laslo Djere,713
71,Bernabe Zapata Miralles,712
72,Ilya Ivashka,705
73,Marton Fucsovics,704
74,Oscar Otte,701
75,Roberto Carballes Baena,695
76,Federico Coria,695
77,Mikael Ymer,694
78,Jiri Lehecka,685
79,Christopher O'Connell,652
80,Tomas Martin Etcheverry,649
81,Dusan Lajovic,646
82,Joao Sousa,638
83,Gael Monfils,630
84,Soonwoo Kwon,626
85,Jordan Thompson,617
86,Jason Kubler,613
87,Cristian Garin,606
88,Gregoire Barrere,603
89,Nikoloz Basilashvili,595
90,Facundo Bagnis,595
91,Daniel Altmaier,590
92,Ben Shelton,584
93,Marco Cecchinato,582
94,Vasek Pospisil,576
95,Taro Daniel,572
96,Kamil Majchrzak,568
97,Zhizhen Zhang,567
98,Roman Safiullin,563
99,Dominic Thiem,561
100,Radu Albot,553
101,Emilio Gomez,553
102,Denis Kudla,548
103,Alejandro Tabilo,547
104,Juan Pablo Varillas,546
105,Hugo Gaston,535
106,Tim van Rijthoven,532
107,Jiri Vesely,524
108,Ugo Humbert,523
109,Michael Mmoh,523
110,Thanasi Kokkinakis,522
111,Norbert Gombos,516
112,Nuno Borges,512
113,Alexei Popyrin,506
114,Steve Johnson,503
115,Tomas Machac,500
116,Yibing Wu,494
117,Chun-Hsin Tseng,490
118,Pavel Kotov,483
119,Dominic Stricker,479
120,Francesco Passaro,473
121,Pablo Andujar,467
122,Jurij Rodionov,467
123,Christopher Eubanks,462
124,Borna Gojo,461
125,Fernando Verdasco,460
126,Elias Ymer,456
127,Camilo Ugo Carabelli,445
128,Yannick Hanfmann,435
129,Aleksandar Vukic,429
130,Jack Sock,428
131,Zizou Bergs,428
132,Hugo Dellien,425
133,Jelle Sels,421
134,Matteo Arnaldi,421
135,Leandro Riedi,420
136,Federico Delbonis,416
137,Jozef Kovalik,413
138,Yosuke Watanuki,413
139,Stan Wawrinka,412
140,Lukas Klein,405
141,Maximilian Marterer,404
142,Luca Van Assche,403
143,Juan Manuel Cerundolo,400
144,Timofey Skatov,398
145,Dennis Novak,391
146,Raul Brancaccio,385
147,Hugo Grenier,381
148,John Millman,378
149,Filip Misolic,376
150,Ryan Peniston,376
151,Manuel Guinard,376
152,Vit Kopriva,375
153,Mattia Bellucci,374
154,Franco Agamenone,373
155,Nicolas Jarry,370
156,Gilles Simon,369
157,James Duckworth,369
158,Alexander Shevchenko,369
159,Liam Broady,367
160,Luca Nardi,367
161,Alexandre Muller,361
162,Gijs Brouwer,360
163,Aleksandar Kovacevic,360
164,Flavio Cobolli,360
165,Felipe Meligeni Alves,358
166,Tung-Lin Wu,353
167,Jan-Lennard Struff,351
168,Giulio Zeppieri,350
169,Rinky Hijikata,344
170,Carlos Taberner,343
171,Zsombor Piros,341
172,Benoit Paire,337
173,Geoffrey Blancaneaux,337
174,Alexander Ritschard,335
175,Fabian Marozsan,335
176,Laurent Lokoli,326
177,Damir Dzumhur,324
178,Emilio Nava,321
179,Otto Virtanen,321
180,Juan Pablo Ficovich,321
181,Andrea Pellegrino,318
182,Dimitar Kuzmanov,317
183,Renzo Olivo,315
184,Facundo Mena,314
185,Ricardas Berankis,311
186,Antoine Bellier,310
187,Henri Laaksonen,308
