My Circle,My Rank,Circle Ring,User,Circle Person,User rank,User Ring,Is Me,Common
@ItsElisaDavis,1.,1,@ItsElisaDavis,@ZachBowders,1.,1,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@brrosenau,2.,1,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@StyleSTEAMed,3.,1,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@nicolemark_,4.,1,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@ItsMehras,5.,1,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@tableau,6.,1,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@KevinWee90,7.,1,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@_gringuinho_,8.,1,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@dbfmurray,9.,2,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@VizByMoon,10.,2,yes,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@FlerlageKev,11.,2,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@tableaupublic,12.,2,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@laurenancona,13.,2,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@sarahlovesdata,14.,2,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@jaxx084,15.,2,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@jschwabish,16.,2,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@WindsCogley,17.,2,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@DataDivergent,18.,2,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@aabattani,19.,2,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@Matt_Francis,20.,2,no,no
@ItsElisaDavis,1.,1,@ItsElisaDavis,@ZenDollData,21.,2,no,yes
@ItsElisaDavis,1.,1,@ItsElisaDavis,@RobertJanezic,22.,2,no,no
