SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42021,1610612744,GSW,Golden State Warriors,42100406,16/06/2022,GSW @ BOS,W,241,103,38,92,0.413,19,46,0.413,8,8,1,15,29,44,27,13,7,15,20,13
42021,1610612738,BOS,Boston Celtics,42100406,16/06/2022,BOS vs. GSW,L,239,90,34,80,0.425,11,28,0.393,11,12,0.917,11,30,41,27,8,8,22,16,-13
42021,1610612738,BOS,Boston Celtics,42100405,13/06/2022,BOS @ GSW,L,238,94,31,75,0.413,11,32,0.344,21,31,0.677,8,39,47,18,2,2,18,16,-10
42021,1610612744,GSW,Golden State Warriors,42100405,13/06/2022,GSW vs. BOS,W,240,104,41,88,0.466,9,40,0.225,13,15,0.867,4,35,39,23,9,2,6,28,10
42021,1610612738,BOS,Boston Celtics,42100404,10/06/2022,BOS vs. GSW,L,241,97,34,85,0.4,15,38,0.395,14,19,0.737,11,31,42,22,8,6,15,17,-10
42021,1610612744,GSW,Golden State Warriors,42100404,10/06/2022,GSW @ BOS,W,241,107,40,91,0.44,15,43,0.349,12,15,0.8,16,39,55,20,10,5,16,21,10
42021,1610612744,GSW,Golden State Warriors,42100403,08/06/2022,GSW @ BOS,L,237,100,36,78,0.462,15,40,0.375,13,15,0.867,6,25,31,22,7,5,16,23,-16
42021,1610612738,BOS,Boston Celtics,42100403,08/06/2022,BOS vs. GSW,W,240,116,43,89,0.483,13,35,0.371,17,24,0.708,15,32,47,28,7,7,12,17,16
42021,1610612738,BOS,Boston Celtics,42100402,05/06/2022,BOS @ GSW,L,242,88,30,80,0.375,15,37,0.405,13,17,0.765,6,37,43,24,5,7,18,18,-19
42021,1610612744,GSW,Golden State Warriors,42100402,05/06/2022,GSW vs. BOS,W,241,107,39,86,0.453,15,37,0.405,14,20,0.7,6,36,42,25,15,2,12,17,19
42021,1610612738,BOS,Boston Celtics,42100401,02/06/2022,BOS @ GSW,W,242,120,43,85,0.506,21,41,0.512,13,16,0.813,7,32,39,33,7,6,12,13,12
42021,1610612744,GSW,Golden State Warriors,42100401,02/06/2022,GSW vs. BOS,L,241,108,39,88,0.443,19,45,0.422,11,15,0.733,12,27,39,24,8,6,14,16,-12
