match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3847567,2022-07-31,18:00:00.000,Europe - UEFA Women's Euro,2022,England Women's,Germany Women's,2,1,available,available,2022-12-02T01:39:22.349340,2022-09-12T15:04:12.439476,6,Final,Wembley Stadium,Kateryna Monzul,Sarina Glotzbach-Wiegman,Martina Voss-Tecklenburg,1.1.0,2,2
3845506,2022-07-26,21:00:00.000,Europe - UEFA Women's Euro,2022,England Women's,Sweden Women's,4,0,available,available,2022-12-02T01:37:33.124516,2022-09-06T06:29:30.151649,5,Semi-finals,Bramall Lane,Esther Staubli,Sarina Glotzbach-Wiegman,Peter Gerhardsson,1.1.0,2,2
3835335,2022-07-15,21:00:00.000,Europe - UEFA Women's Euro,2022,Northern Ireland,England Women's,0,5,available,available,2022-12-02T01:25:59.874681,2022-08-25T15:50:02.843890,3,Group Stage,St. Mary''s Stadium,Esther Staubli,Kenny Shiels,Sarina Glotzbach-Wiegman,1.1.0,2,2
3835323,2022-07-09,18:00:00.000,Europe - UEFA Women's Euro,2022,Portugal Women's,Switzerland Women's,2,2,available,available,2022-12-02T01:16:29.244149,2022-08-29T19:19:33.588699,1,Group Stage,Leigh Sports Village Stadium,Jana Adamkova,Francisco Miguel Conceição Roque Neto,Nils Herbert Kromann Nielsen,1.1.0,2,2
3835325,2022-07-10,21:00:00.000,Europe - UEFA Women's Euro,2022,France Women's,Italy Women's,5,1,available,available,2022-12-02T01:19:12.064886,2022-09-04T19:01:10.410332,1,Group Stage,AESSEAL New York Stadium ,Rebecca Welch,Corinne Catherine Diacre,Milena Bertolini,1.1.0,2,2
3835324,2022-07-09,21:00:00.000,Europe - UEFA Women's Euro,2022,Netherlands Women's,Sweden Women's,1,1,available,available,2022-12-02T01:17:27.737762,2022-08-29T19:17:00.202011,1,Group Stage,Bramall Lane,Cheryl Foster,Mark Richard David Parsons,Peter Gerhardsson,1.1.0,2,2
3835331,2022-07-13,18:00:00.000,Europe - UEFA Women's Euro,2022,Sweden Women's,Switzerland Women's,2,1,available,available,2022-12-02T01:23:30.414734,2022-08-25T19:03:09.037945,2,Group Stage,Bramall Lane,Marta Huerta de Aza,Peter Gerhardsson,Nils Herbert Kromann Nielsen,1.1.0,2,2
3835320,2022-07-07,21:00:00.000,Europe - UEFA Women's Euro,2022,Norway Women's,Northern Ireland,4,1,available,available,2022-12-02T01:13:38.530194,2022-08-25T10:44:36.086663,1,Group Stage,St. Mary''s Stadium,Lina Lehtovaara,Martin Sjögren,Kenny Shiels,1.1.0,2,2
3845507,2022-07-27,21:00:00.000,Europe - UEFA Women's Euro,2022,Germany Women's,France Women's,2,1,available,available,2022-12-02T01:38:25.587065,2022-08-25T21:30:18.952432,5,Semi-finals,Stadium MK,Cheryl Foster,Martina Voss-Tecklenburg,Corinne Catherine Diacre,1.1.0,2,2
3844387,2022-07-23,21:00:00.000,Europe - UEFA Women's Euro,2022,France Women's,Netherlands Women's,1,0,available,available,2022-12-02T01:36:36.968547,2022-08-29T20:59:06.480438,4,Quarter-finals,AESSEAL New York Stadium ,Ivana Martinčić,Corinne Catherine Diacre,Mark Richard David Parsons,1.1.0,2,2
3844384,2022-07-20,21:00:00.000,Europe - UEFA Women's Euro,2022,England Women's,Spain Women's,2,1,available,available,2022-07-22T11:20:46.740009,2022-08-28T11:04:52.754223,4,Quarter-finals,The American Express Community Stadium,Stéphanie Frappart,Sarina Glotzbach-Wiegman,Jorge Vilda,1.1.0,2,2
3844385,2022-07-21,21:00:00.000,Europe - UEFA Women's Euro,2022,Germany Women's,Austria Women's,2,0,available,available,2022-12-02T01:34:38.016030,2022-08-04T12:00,4,Quarter-finals,Gtech Community Stadium,Rebecca Welch,Martina Voss-Tecklenburg,Irene Fuhrmann,1.1.0,2,2
3844386,2022-07-22,21:00:00.000,Europe - UEFA Women's Euro,2022,Sweden Women's,Belgium Women's,1,0,available,available,2022-12-02T01:35:28.918863,2022-08-26T00:43:22.824600,4,Quarter-finals,Leigh Sports Village Stadium,Kateryna Monzul,Peter Gerhardsson,Ives Serneels,1.1.0,2,2
3835342,2022-07-18,21:00:00.000,Europe - UEFA Women's Euro,2022,Iceland Women's,France Women's,1,1,available,available,2022-12-02T01:33:48.120516,2022-09-13T17:04:11.418708,3,Group Stage,AESSEAL New York Stadium ,Jana Adamkova,Thorsteinn Halldórsson,Corinne Catherine Diacre,1.1.0,2,2
3835337,2022-07-16,21:00:00.000,Europe - UEFA Women's Euro,2022,Denmark Women's,Spain Women's,0,1,available,available,2022-12-02T01:28:54.998099,2022-08-04T12:00,3,Group Stage,Gtech Community Stadium,Rebecca Welch,Lars Søndergaard,Jorge Vilda,1.1.0,2,2
3835338,2022-07-16,21:00:00.000,Europe - UEFA Women's Euro,2022,WNT Finland,Germany Women's,0,3,available,available,2022-12-02T01:27:59.369329,2022-08-04T12:00,3,Group Stage,Stadium MK,Emikar Caldera Barrera,Anna Signeul,Martina Voss-Tecklenburg,1.1.0,2,2
3835330,2022-07-12,21:00:00.000,Europe - UEFA Women's Euro,2022,Germany Women's,Spain Women's,2,0,available,available,2022-12-02T01:21:48.242454,2022-09-12T15:42:06.543941,2,Group Stage,Gtech Community Stadium,Stéphanie Frappart,Martina Voss-Tecklenburg,Jorge Vilda,1.1.0,2,2
