event_use,order ,event_id,event_type,result,success,period_id,timestamp,end_timestamp,ball_state,ball_owning_team,team_id,player_id,coordinates_x,coordinates_y,end_coordinates_x,end_coordinates_y,receiver_player_id,set_piece_type,body_part_type,pass_type,card_type
,,8f16692f-c15c-4664-9ca8-7ee41df124d5,GENERIC:Starting XI,,,1,0,,alive,1214,1214,,,,,,,,,,
,,27e4a371-5f0b-4c55-a63f-9a3b7c1decdb,GENERIC:Starting XI,,,1,0,,alive,1214,851,,,,,,,,,,
,,bd75bde1-9e27-436b-bbbf-d1d8d92b17d1,GENERIC:Half Start,,,1,0,,alive,1214,851,,,,,,,,,,
,,3aa460ba-0b79-40df-836c-80f2cec2ae3b,GENERIC:Half Start,,,1,0,,alive,1214,1214,,,,,,,,,,
,,cda3adf5-db44-4d52-a722-8484b56e9418,PASS,COMPLETE,TRUE,1,0.14,1.3536,alive,1214,1214,5085,59.95,39.95,33.25,44.05,5081,KICK_OFF,RIGHT_FOOT,,
,,1b8a9a7f-a699-48a4-977b-973063799498,GENERIC:Ball Receipt*,,,1,1.353,,alive,1214,1214,5081,33.25,44.05,,,,,,,
,,283b81db-e89b-4a92-990d-432538ec7309,CARRY,COMPLETE,TRUE,1,1.353,2.5891,alive,1214,1214,5081,33.25,44.05,35.65,44.75,,,,,
,,27c0f8c5-e4a3-4461-8b0c-6e90c2fd28da,PASS,COMPLETE,TRUE,1,2.589,5.2272,alive,1214,1214,5081,35.65,44.75,84.35,21.15,5087,,RIGHT_FOOT,LONG_BALL,
,,86c21d83-0330-4cde-9ae5-5aaf3946d3f0,GENERIC:Ball Receipt*,,,1,5.227,,alive,1214,1214,5087,84.35,21.15,,,,,,,
,,b99b019e-ce51-4be7-bd85-0b6d8ffc5b99,PASS,INCOMPLETE,FALSE,1,5.264,7.4797,alive,1214,1214,5087,84.35,21.15,102.15,19.75,,,,HIGH_PASS,
,,8724eec2-8e9a-4488-8f9d-fcf39845f6d4,GENERIC:Duel,,,1,5.264,,alive,1214,851,10658,36.55,59.75,,,,,,,
,,1fa03b06-8ff9-40db-afc5-38117f8e5def,PASS,OUT,FALSE,1,7.48,8.728558,alive,1214,851,10657,18.75,61.15,32.85,79.65,,,RIGHT_FOOT,HIGH_PASS,
,,1fa03b06-8ff9-40db-afc5-38117f8e5def,BALL_OUT,,,1,7.48,,dead,1214,851,10657,32.85,79.65,,,,,,,
,,babf6541-d034-40d0-a90f-3472de1404e8,PASS,COMPLETE,TRUE,1,13.847,14.543898,alive,1214,1214,8298,98.95,0.95,84.85,2.35,5088,THROW_IN,,,
