id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
426431,27,BlockedShot,0.9059999847412109,0.4209999847412109,0.12446700036525726,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16385,Tottenham,Manchester City,1,0,2021-08-15 15:30:00,Steven Bergwijn,Pass
426434,39,MissedShots,0.8119999694824219,0.5420000076293945,0.0755229964852333,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16385,Tottenham,Manchester City,1,0,2021-08-15 15:30:00,Lucas Moura,Pass
426436,41,MissedShots,0.8009999847412109,0.34799999237060547,0.019126299768686295,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16385,Tottenham,Manchester City,1,0,2021-08-15 15:30:00,Lucas Moura,HeadPass
426444,54,Goal,0.8059999847412109,0.3240000152587891,0.027829399332404137,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16385,Tottenham,Manchester City,1,0,2021-08-15 15:30:00,Steven Bergwijn,Pass
426452,78,BlockedShot,0.7819999694824219,0.4490000152587891,0.026767300441861153,Son Heung-Min,h,453,SetPiece,2021,RightFoot,16385,Tottenham,Manchester City,1,0,2021-08-15 15:30:00,Pierre-Emile Højbjerg,Pass
427557,64,SavedShot,0.8980000305175782,0.3729999923706055,0.08590099960565567,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16393,Wolverhampton Wanderers,Tottenham,0,1,2021-08-22 13:00:00,,Rebound
427558,64,BlockedShot,0.850999984741211,0.46299999237060546,0.09109079837799072,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16393,Wolverhampton Wanderers,Tottenham,0,1,2021-08-22 13:00:00,Steven Bergwijn,Pass
429071,32,MissedShots,0.8540000152587891,0.6809999847412109,0.044658299535512924,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16404,Tottenham,Watford,1,0,2021-08-29 13:00:00,Sergio Reguilón,Pass
429073,41,Goal,0.8019999694824219,0.905,0.027735700830817223,Son Heung-Min,h,453,DirectFreekick,2021,RightFoot,16404,Tottenham,Watford,1,0,2021-08-29 13:00:00,,Standard
429077,58,SavedShot,0.78,0.6909999847412109,0.01645289920270443,Son Heung-Min,h,453,SetPiece,2021,RightFoot,16404,Tottenham,Watford,1,0,2021-08-29 13:00:00,,Dispossessed
431968,1,BlockedShot,0.7830000305175782,0.7030000305175781,0.01943179965019226,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16425,Tottenham,Chelsea,0,3,2021-09-19 15:30:00,Tanguy NDombele Alvaro,Pass
431979,32,SavedShot,0.91,0.425,0.41459301114082336,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16425,Tottenham,Chelsea,0,3,2021-09-19 15:30:00,Giovani Lo Celso,Pass
434201,21,SavedShot,0.9319999694824219,0.7090000152587891,0.09114129841327667,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16434,Arsenal,Tottenham,3,1,2021-09-26 15:30:00,,BallRecovery
434216,78,Goal,0.91,0.53,0.2991879880428314,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16434,Arsenal,Tottenham,3,1,2021-09-26 15:30:00,Sergio Reguilón,Cross
435332,17,BlockedShot,0.885,0.3920000076293945,0.09401500225067139,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16443,Tottenham,Aston Villa,2,1,2021-10-03 13:00:00,Lucas Moura,Pass
435335,23,MissedShots,0.765,0.5220000076293946,0.02808690071105957,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16443,Tottenham,Aston Villa,2,1,2021-10-03 13:00:00,Lucas Moura,Pass
435347,52,MissedShots,0.8859999847412109,0.629000015258789,0.05862870067358017,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16443,Tottenham,Aston Villa,2,1,2021-10-03 13:00:00,Emerson,Cross
435348,55,MissedShots,0.7530000305175781,0.6079999923706054,0.026579000055789948,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16443,Tottenham,Aston Villa,2,1,2021-10-03 13:00:00,,None
435350,59,SavedShot,0.9690000152587891,0.5779999923706055,0.33812201023101807,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16443,Tottenham,Aston Villa,2,1,2021-10-03 13:00:00,Eric Dier,Chipped
437028,48,Goal,0.965,0.545,0.68299400806427,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16452,Newcastle United,Tottenham,2,3,2021-10-17 15:30:00,Harry Kane,Pass
438244,24,SavedShot,0.8959999847412109,0.355,0.321817010641098,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16465,West Ham,Tottenham,1,0,2021-10-24 13:00:00,Tanguy NDombele Alvaro,Throughball
439890,5,BlockedShot,0.765,0.3120000076293945,0.014818100258708,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16473,Tottenham,Manchester United,0,3,2021-10-30 16:30:00,,None
439896,23,MissedShots,0.9590000152587891,0.5879999923706055,0.3506709933280945,Son Heung-Min,h,453,SetPiece,2021,RightFoot,16473,Tottenham,Manchester United,0,3,2021-10-30 16:30:00,Lucas Moura,Chipped
439905,46,MissedShots,0.81,0.525,0.05664899945259094,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16473,Tottenham,Manchester United,0,3,2021-10-30 16:30:00,Lucas Moura,Pass
443386,50,MissedShots,0.9390000152587891,0.3120000076293945,0.05137670040130615,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16493,Tottenham,Leeds,2,1,2021-11-21 16:30:00,Lucas Moura,Chipped
443402,79,MissedShots,0.7190000152587891,0.4809999847412109,0.018602099269628525,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16493,Tottenham,Leeds,2,1,2021-11-21 16:30:00,,None
445748,35,SavedShot,0.794000015258789,0.5840000152587891,0.05757490172982216,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16515,Tottenham,Brentford,2,0,2021-12-02 19:30:00,Pierre-Emile Højbjerg,BallRecovery
445758,64,Goal,0.950999984741211,0.475,0.7821339964866638,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16515,Tottenham,Brentford,2,0,2021-12-02 19:30:00,Sergio Reguilón,Pass
446734,28,MissedShots,0.8119999694824219,0.6480000305175782,0.04609689861536026,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16522,Tottenham,Norwich,3,0,2021-12-05 14:00:00,Lucas Moura,Pass
446741,42,BlockedShot,0.855,0.5059999847412109,0.07236240059137344,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16522,Tottenham,Norwich,3,0,2021-12-05 14:00:00,Ben Davies,Cross
446753,76,Goal,0.91,0.46099998474121096,0.13799899816513062,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16522,Tottenham,Norwich,3,0,2021-12-05 14:00:00,Ben Davies,Pass
449810,15,MissedShots,0.905,0.54,0.5885199904441833,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16552,Tottenham,Liverpool,2,2,2021-12-19 16:30:00,Harry Kane,Pass
449831,73,Goal,0.93,0.6780000305175782,0.31465399265289307,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16552,Tottenham,Liverpool,2,2,2021-12-19 16:30:00,,None
450552,2,SavedShot,0.7430000305175781,0.44,0.020786799490451813,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16563,Tottenham,Crystal Palace,3,0,2021-12-26 15:00:00,Lucas Moura,Pass
450564,73,Goal,0.965,0.43599998474121093,0.5378689765930176,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16563,Tottenham,Crystal Palace,3,0,2021-12-26 15:00:00,Lucas Moura,Cross
450726,34,SavedShot,0.749000015258789,0.6229999923706054,0.0197783000767231,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16575,Southampton,Tottenham,1,1,2021-12-28 15:00:00,Harry Kane,Pass
450731,54,BlockedShot,0.9030000305175782,0.6580000305175782,0.07913470268249512,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16575,Southampton,Tottenham,1,1,2021-12-28 15:00:00,Harry Kane,Pass
450732,58,BlockedShot,0.9280000305175782,0.6329999923706054,0.07060199975967407,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16575,Southampton,Tottenham,1,1,2021-12-28 15:00:00,Ben Davies,Cross
450741,78,SavedShot,0.9280000305175782,0.455,0.05881970003247261,Son Heung-Min,a,453,OpenPlay,2021,Head,16575,Southampton,Tottenham,1,1,2021-12-28 15:00:00,Bryan Gil Salvatierra,Aerial
450745,90,SavedShot,0.93,0.48700000762939455,0.13725599646568298,Son Heung-Min,a,453,OpenPlay,2021,Head,16575,Southampton,Tottenham,1,1,2021-12-28 15:00:00,Harry Winks,Cross
450970,37,BlockedShot,0.875999984741211,0.4640000152587891,0.08607660233974457,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16585,Watford,Tottenham,0,1,2022-01-01 15:00:00,Emerson,Cross
450981,66,MissedShots,0.9269999694824219,0.534000015258789,0.1459980010986328,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16585,Watford,Tottenham,0,1,2022-01-01 15:00:00,Emerson,Rebound
450983,71,SavedShot,0.9269999694824219,0.4520000076293945,0.3492169976234436,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16585,Watford,Tottenham,0,1,2022-01-01 15:00:00,Lucas Moura,Chipped
450984,76,MissedShots,0.8590000152587891,0.6580000305175782,0.04728589951992035,Son Heung-Min,a,453,FromCorner,2021,RightFoot,16585,Watford,Tottenham,0,1,2022-01-01 15:00:00,Ben Davies,Pass
456631,69,Goal,0.919000015258789,0.5320000076293945,0.48516198992729187,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16613,Tottenham,Southampton,2,3,2022-02-09 19:45:00,Lucas Moura,Pass
457509,15,SavedShot,0.874000015258789,0.3370000076293945,0.05549050122499466,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16624,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13 14:00:00,Rodrigo Bentancur,Pass
457516,36,SavedShot,0.894000015258789,0.705,0.03377410024404526,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16624,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13 14:00:00,Rodrigo Bentancur,Chipped
457526,66,BlockedShot,0.81,0.6309999847412109,0.10481400042772293,Son Heung-Min,h,453,DirectFreekick,2021,RightFoot,16624,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13 14:00:00,,Standard
458474,53,SavedShot,0.794000015258789,0.36900001525878906,0.14400699734687805,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16632,Manchester City,Tottenham,2,3,2022-02-19 17:30:00,Harry Kane,Throughball
