type	time	latitude	longitude	altitude (m)	pace (min/km)	distance (km)	distance_interval (m)	hr	name	desc
T	2021-03-07 07:48:38	51.475565000	-0.020173000	5.5		0.000			Goal achieved ✅	
T	2021-03-07 07:48:39	51.475535000	-0.020139000	5.5	4.08	0.004	4.09			
T	2021-03-07 07:48:40	51.475520000	-0.020086000	5.5	4.12	0.008	4.04			
T	2021-03-07 07:48:41	51.475516000	-0.020070000	5.5	13.92	0.009	1.20			
T	2021-03-07 07:48:42	51.475491000	-0.020018000	5.4	3.66	0.014	4.56			
T	2021-03-07 07:48:43	51.475478000	-0.020002000	5.4	9.14	0.016	1.82			
T	2021-03-07 07:48:44	51.475454000	-0.019969000	5.4	4.74	0.019	3.52			
T	2021-03-07 07:48:45	51.475450000	-0.019959000	5.4	20.20	0.020	0.83			
T	2021-03-07 07:48:46	51.475441000	-0.019904000	5.4	4.22	0.024	3.95			
T	2021-03-07 07:48:47	51.475441000	-0.019882000	5.4	10.90	0.026	1.53			
T	2021-03-07 07:48:48	51.475460000	-0.019831000	5.4	4.04	0.030	4.13			
T	2021-03-07 07:48:49	51.475468000	-0.019817000	5.4	12.64	0.031	1.32			
T	2021-03-07 07:48:50	51.475491000	-0.019783000	5.4	4.79	0.034	3.48			
T	2021-03-07 07:48:51	51.475519000	-0.019751000	5.4	4.35	0.038	3.83			
T	2021-03-07 07:48:52	51.475528000	-0.019739000	5.4	12.79	0.040	1.30			
T	2021-03-07 07:48:53	51.475555000	-0.019699000	5.4	4.07	0.044	4.09			
T	2021-03-07 07:48:54	51.475564000	-0.019685000	5.4	11.94	0.045	1.40			
T	2021-03-07 07:48:55	51.475580000	-0.019646000	5.4	5.14	0.048	3.24			
T	2021-03-07 07:48:56	51.475600000	-0.019608000	5.4	4.83	0.052	3.45			
T	2021-03-07 07:48:57	51.475625000	-0.019545000	5.3	3.21	0.057	5.19			
T	2021-03-07 07:48:58	51.475645000	-0.019505000	5.3	4.68	0.061	3.56			
T	2021-03-07 07:48:59	51.475693000	-0.019526000	5.3	3.01	0.066	5.54			
T	2021-03-07 07:49:00	51.475696000	-0.019471000	5.3	4.35	0.070	3.84			
T	2021-03-07 07:49:01	51.475707000	-0.019416000	5.3	4.15	0.074	4.01			
T	2021-03-07 07:49:02	51.475720000	-0.019404000	5.3	9.98	0.076	1.67			
T	2021-03-07 07:49:03	51.475734000	-0.019386000	5.3	8.34	0.078	2.00			
T	2021-03-07 07:49:04	51.475738000	-0.019377000	5.3	21.72	0.078	0.77			
T	2021-03-07 07:49:05	51.475742000	-0.019383000	5.3	27.33	0.079	0.61			
T	2021-03-07 07:49:06	51.475747000	-0.019391000	5.3	21.19	0.080	0.79			
T	2021-03-07 07:49:07	51.475751000	-0.019390000	5.3	37.00	0.080	0.45			
T	2021-03-07 07:49:08	51.475759000	-0.019366000	5.3	8.82	0.082	1.89			
T	2021-03-07 07:49:09	51.475784000	-0.019319000	5.3	3.89	0.086	4.29			
T	2021-03-07 07:49:10	51.475794000	-0.019302000	5.3	10.27	0.088	1.62			
T	2021-03-07 07:49:11	51.475809000	-0.019264000	5.3	5.34	0.091	3.12			
T	2021-03-07 07:49:12	51.475833000	-0.019224000	5.3	4.32	0.095	3.85			
T	2021-03-07 07:49:13	51.475839000	-0.019208000	5.3	12.85	0.096	1.30			
T	2021-03-07 07:49:14	51.475859000	-0.019175000	5.3	5.22	0.099	3.19			
T	2021-03-07 07:49:15	51.475882000	-0.019138000	5.3	4.59	0.103	3.63			
T	2021-03-07 07:49:16	51.475888000	-0.019123000	5.3	13.47	0.104	1.24			
T	2021-03-07 07:49:17	51.475894000	-0.019108000	5.3	13.47	0.106	1.24			
T	2021-03-07 07:49:18	51.475907000	-0.019084000	5.2	7.55	0.108	2.21			
T	2021-03-07 07:49:19	51.475922000	-0.019038000	5.2	4.62	0.111	3.61			
T	2021-03-07 07:49:20	51.475930000	-0.019026000	5.2	13.67	0.113	1.22			
T	2021-03-07 07:49:21	51.475953000	-0.018994000	5.2	4.92	0.116	3.39			
T	2021-03-07 07:49:22	51.475958000	-0.018982000	5.2	16.63	0.117	1.00			
T	2021-03-07 07:49:23	51.475970000	-0.018960000	5.2	8.21	0.119	2.03			
T	2021-03-07 07:49:24	51.475988000	-0.018950000	5.2	7.86	0.121	2.12			
T	2021-03-07 07:49:25	51.476002000	-0.018942000	5.2	10.08	0.123	1.65			
T	2021-03-07 07:49:26	51.476015000	-0.018923000	5.2	8.51	0.125	1.96			
T	2021-03-07 07:49:27	51.476034000	-0.018856000	5.2	3.26	0.130	5.11			
T	2021-03-07 07:49:28	51.476035000	-0.018812000	5.2	5.45	0.133	3.06			
T	2021-03-07 07:49:29	51.476048000	-0.018769000	5.2	5.02	0.136	3.32			
T	2021-03-07 07:49:30	51.476050000	-0.018752000	5.2	13.87	0.137	1.20			
T	2021-03-07 07:49:31	51.476066000	-0.018693000	5.2	3.73	0.142	4.47			
T	2021-03-07 07:49:32	51.476073000	-0.018675000	5.2	11.31	0.143	1.47			
T	2021-03-07 07:49:33	51.476095000	-0.018631000	5.2	4.26	0.147	3.92			
T	2021-03-07 07:49:34	51.476122000	-0.018583000	5.3	3.71	0.152	4.49			
T	2021-03-07 07:49:35	51.476128000	-0.018546000	5.3	6.28	0.154	2.66			
T	2021-03-07 07:49:36	51.476142000	-0.018508000	5.3	5.44	0.158	3.07			
T	2021-03-07 07:49:37	51.476159000	-0.018467000	5.3	4.87	0.161	3.42			
T	2021-03-07 07:49:38	51.476174000	-0.018420000	5.3	4.54	0.165	3.67			
T	2021-03-07 07:49:39	51.476178000	-0.018362000	5.3	4.11	0.169	4.05			
T	2021-03-07 07:49:40	51.476192000	-0.018302000	5.3	3.75	0.173	4.45			
T	2021-03-07 07:49:41	51.476202000	-0.018257000	5.3	5.02	0.176	3.32			
T	2021-03-07 07:49:42	51.476209000	-0.018218000	5.4	5.91	0.179	2.82			
T	2021-03-07 07:49:43	51.476213000	-0.018199000	5.4	11.96	0.181	1.39			
T	2021-03-07 07:49:44	51.476246000	-0.018159000	5.4	3.62	0.185	4.60			
T	2021-03-07 07:49:45	51.476263000	-0.018092000	5.4	3.32	0.190	5.02			
T	2021-03-07 07:49:46	51.476271000	-0.018040000	5.5	4.48	0.194	3.72			
T	2021-03-07 07:49:47	51.476290000	-0.018005000	5.5	5.17	0.197	3.22			
T	2021-03-07 07:49:48	51.476293000	-0.017992000	5.5	17.31	0.198	0.96			
T	2021-03-07 07:49:49	51.476312000	-0.017959000	5.5	5.34	0.201	3.12			
T	2021-03-07 07:49:50	51.476310000	-0.017890000	5.5	3.47	0.206	4.80			
T	2021-03-07 07:49:51	51.476333000	-0.017862000	5.5	5.18	0.209	3.21			
T	2021-03-07 07:49:52	51.476347000	-0.017799000	5.5	3.59	0.214	4.65			
T	2021-03-07 07:49:53	51.476366000	-0.017745000	5.5	3.87	0.218	4.31			
T	2021-03-07 07:49:54	51.476377000	-0.017731000	5.5	10.66	0.220	1.56			
T	2021-03-07 07:49:55	51.476402000	-0.017715000	5.5	5.56	0.223	3.00			
T	2021-03-07 07:49:56	51.476414000	-0.017708000	5.6	11.73	0.224	1.42			
T	2021-03-07 07:49:57	51.476436000	-0.017657000	5.6	3.87	0.229	4.31			
T	2021-03-07 07:49:58	51.476442000	-0.017637000	5.6	10.81	0.230	1.54			
T	2021-03-07 07:49:59	51.476466000	-0.017585000	5.6	3.71	0.235	4.49			
T	2021-03-07 07:50:00	51.476474000	-0.017560000	5.6	8.54	0.237	1.95			
T	2021-03-07 07:50:01	51.476499000	-0.017519000	5.6	4.19	0.241	3.98			
T	2021-03-07 07:50:02	51.476509000	-0.017504000	5.6	10.93	0.242	1.52			
T	2021-03-07 07:50:03	51.476518000	-0.017463000	5.6	5.52	0.245	3.02			
T	2021-03-07 07:50:04	51.476544000	-0.017418000	5.7	3.91	0.249	4.26			
T	2021-03-07 07:50:05	51.476549000	-0.017400000	5.7	12.18	0.251	1.37			
T	2021-03-07 07:50:06	51.476570000	-0.017351000	5.7	4.04	0.255	4.13			
T	2021-03-07 07:50:07	51.476577000	-0.017333000	5.7	11.31	0.256	1.47			
T	2021-03-07 07:50:08	51.476607000	-0.017334000	5.7	4.99	0.260	3.34			
T	2021-03-07 07:50:09	51.476632000	-0.017296000	5.8	4.35	0.263	3.83			
T	2021-03-07 07:50:10	51.476645000	-0.017286000	5.8	10.39	0.265	1.60			
T	2021-03-07 07:50:11	51.476665000	-0.017238000	5.8	4.16	0.269	4.01			
T	2021-03-07 07:50:12	51.476674000	-0.017218000	5.8	9.73	0.271	1.71			
T	2021-03-07 07:50:13	51.476672000	-0.017161000	5.8	4.20	0.275	3.97			
T	2021-03-07 07:50:14	51.476687000	-0.017116000	5.8	4.70	0.278	3.54			
T	2021-03-07 07:50:15	51.476704000	-0.017063000	5.8	4.03	0.282	4.14			
T	2021-03-07 07:50:16	51.476705000	-0.017034000	5.8	8.26	0.284	2.02			
T	2021-03-07 07:50:17	51.476726000	-0.016996000	5.8	4.73	0.288	3.53			
T	2021-03-07 07:50:18	51.476761000	-0.016972000	5.9	3.93	0.292	4.24			
T	2021-03-07 07:50:19	51.476768000	-0.016906000	5.9	3.58	0.297	4.65			
T	2021-03-07 07:50:20	51.476772000	-0.016881000	5.9	9.30	0.299	1.79			
T	2021-03-07 07:50:21	51.476800000	-0.016880000	5.9	5.35	0.302	3.12			
T	2021-03-07 07:50:22	51.476820000	-0.016831000	5.9	4.10	0.306	4.07			
T	2021-03-07 07:50:23	51.476825000	-0.016814000	5.9	12.77	0.307	1.31			
T	2021-03-07 07:50:24	51.476838000	-0.016760000	5.9	4.15	0.311	4.02			
T	2021-03-07 07:50:25	51.476847000	-0.016746000	5.9	11.94	0.313	1.40			
T	2021-03-07 07:50:26	51.476861000	-0.016704000	5.9	5.04	0.316	3.31			
T	2021-03-07 07:50:27	51.476878000	-0.016664000	5.9	4.96	0.319	3.36			
T	2021-03-07 07:50:28	51.476897000	-0.016615000	5.9	4.16	0.323	4.01			
T	2021-03-07 07:50:29	51.476904000	-0.016602000	5.9	13.98	0.324	1.19			
T	2021-03-07 07:50:30	51.476910000	-0.016559000	5.9	5.44	0.327	3.06			
T	2021-03-07 07:50:31	51.476916000	-0.016503000	5.9	4.22	0.331	3.95			
T	2021-03-07 07:50:32	51.476931000	-0.016449000	5.9	4.06	0.336	4.11			
T	2021-03-07 07:50:33	51.476947000	-0.016404000	5.9	4.63	0.339	3.60			
T	2021-03-07 07:50:34	51.476958000	-0.016360000	5.9	5.06	0.342	3.29			
T	2021-03-07 07:50:35	51.476968000	-0.016292000	5.9	3.43	0.347	4.85			
T	2021-03-07 07:50:36	51.476973000	-0.016260000	5.9	7.27	0.350	2.29			
T	2021-03-07 07:50:37	51.476996000	-0.016231000	5.9	5.12	0.353	3.26			
T	2021-03-07 07:50:38	51.477004000	-0.016167000	5.9	3.68	0.357	4.53			
T	2021-03-07 07:50:39	51.477004000	-0.016141000	6.0	9.23	0.359	1.81			
T	2021-03-07 07:50:40	51.477016000	-0.016102000	6.0	5.52	0.362	3.02			
T	2021-03-07 07:50:41	51.477027000	-0.016054000	6.0	4.69	0.366	3.55			
T	2021-03-07 07:50:42	51.477042000	-0.016010000	6.0	4.79	0.369	3.48			
T	2021-03-07 07:50:43	51.477046000	-0.015990000	6.0	11.42	0.371	1.46			
T	2021-03-07 07:50:44	51.477066000	-0.015947000	6.0	4.47	0.374	3.73			
T	2021-03-07 07:50:45	51.477056000	-0.015897000	6.0	4.57	0.378	3.65			
T	2021-03-07 07:50:46	51.477071000	-0.015861000	6.1	5.54	0.381	3.01			
T	2021-03-07 07:50:47	51.477086000	-0.015825000	6.1	5.54	0.384	3.01			
T	2021-03-07 07:50:48	51.477089000	-0.015765000	6.1	3.99	0.388	4.18			
T	2021-03-07 07:50:49	51.477106000	-0.015709000	6.1	3.85	0.393	4.33			
T	2021-03-07 07:50:50	51.477112000	-0.015685000	6.1	9.28	0.394	1.80			
T	2021-03-07 07:50:51	51.477124000	-0.015626000	6.1	3.87	0.399	4.31			
T	2021-03-07 07:50:52	51.477129000	-0.015606000	6.1	11.14	0.400	1.50			
T	2021-03-07 07:50:53	51.477145000	-0.015566000	6.2	5.05	0.403	3.30			
T	2021-03-07 07:50:54	51.477150000	-0.015549000	6.2	12.77	0.405	1.31			
