time,latitude,longitude,altitude
2023-03-05 09:53:44+00:00,48.850141,2.358976,40.9
2023-03-05 09:53:45+00:00,48.850128,2.358936,40.9
2023-03-05 09:53:46+00:00,48.850122,2.358918,40.9
2023-03-05 09:53:47+00:00,48.850115,2.3589,40.9
2023-03-05 09:53:48+00:00,48.850109,2.358882,40.9
2023-03-05 09:53:49+00:00,48.850103,2.358864,40.9
2023-03-05 09:53:50+00:00,48.850096,2.358846,41.0
2023-03-05 09:53:51+00:00,48.85009,2.358828,41.0
2023-03-05 09:53:52+00:00,48.850084,2.35881,41.0
2023-03-05 09:53:53+00:00,48.850077,2.358792,41.0
2023-03-05 09:53:54+00:00,48.850071,2.358774,41.0
2023-03-05 09:53:55+00:00,48.850055,2.358724,41.0
2023-03-05 09:53:56+00:00,48.850049,2.358706,41.0
2023-03-05 09:53:57+00:00,48.850042,2.358689,41.0
2023-03-05 09:53:58+00:00,48.850023,2.358634,41.1
2023-03-05 09:53:59+00:00,48.850013,2.358611,41.1
2023-03-05 09:54:00+00:00,48.850004,2.358589,41.1
2023-03-05 09:54:01+00:00,48.849979,2.358533,41.2
2023-03-05 09:54:02+00:00,48.84997,2.358517,41.2
2023-03-05 09:54:03+00:00,48.84995,2.35847,41.3
2023-03-05 09:54:04+00:00,48.849944,2.358451,41.3
2023-03-05 09:54:05+00:00,48.849938,2.358432,41.3
2023-03-05 09:54:06+00:00,48.849926,2.358387,41.3
2023-03-05 09:54:07+00:00,48.84992,2.358373,41.4
2023-03-05 09:54:08+00:00,48.84991,2.358315,41.4
2023-03-05 09:54:09+00:00,48.849906,2.358292,41.4
2023-03-05 09:54:10+00:00,48.849902,2.358269,41.4
2023-03-05 09:54:11+00:00,48.849893,2.358232,41.5
2023-03-05 09:54:12+00:00,48.849889,2.358217,41.5
2023-03-05 09:54:13+00:00,48.849871,2.358171,41.5
2023-03-05 09:54:14+00:00,48.849864,2.358155,41.5
2023-03-05 09:54:15+00:00,48.849857,2.358139,41.5
2023-03-05 09:54:16+00:00,48.849863,2.358101,41.5
2023-03-05 09:54:17+00:00,48.84986,2.358085,41.5
2023-03-05 09:54:18+00:00,48.84985,2.358033,41.5
2023-03-05 09:54:19+00:00,48.849843,2.358014,41.5
2023-03-05 09:54:20+00:00,48.849836,2.357994,41.5
2023-03-05 09:54:21+00:00,48.849815,2.357957,41.5
2023-03-05 09:54:22+00:00,48.849806,2.357938,41.5
2023-03-05 09:54:23+00:00,48.849797,2.35792,41.4
2023-03-05 09:54:24+00:00,48.849778,2.357878,41.4
2023-03-05 09:54:25+00:00,48.849774,2.35786,41.4
2023-03-05 09:54:26+00:00,48.849759,2.357814,41.3
2023-03-05 09:54:27+00:00,48.849754,2.357791,41.3
2023-03-05 09:54:28+00:00,48.84975,2.357769,41.3
2023-03-05 09:54:29+00:00,48.84974,2.357731,41.3
2023-03-05 09:54:30+00:00,48.84974,2.357716,41.2
2023-03-05 09:54:31+00:00,48.849727,2.357661,41.2
2023-03-05 09:54:32+00:00,48.849722,2.357637,41.2
2023-03-05 09:54:33+00:00,48.849716,2.357613,41.1
2023-03-05 09:54:34+00:00,48.849696,2.357574,41.1
2023-03-05 09:54:35+00:00,48.84969,2.357558,41.1
2023-03-05 09:54:36+00:00,48.849672,2.357504,41.0
2023-03-05 09:54:37+00:00,48.849665,2.357482,41.0
2023-03-05 09:54:38+00:00,48.849659,2.357459,40.9
2023-03-05 09:54:39+00:00,48.849636,2.357409,40.9
2023-03-05 09:54:40+00:00,48.849627,2.357389,40.8
2023-03-05 09:54:41+00:00,48.849619,2.357369,40.8
2023-03-05 09:54:42+00:00,48.849604,2.357313,40.7
2023-03-05 09:54:43+00:00,48.849597,2.3573,40.7
2023-03-05 09:54:44+00:00,48.849577,2.357233,40.7
2023-03-05 09:54:45+00:00,48.849566,2.357212,40.6
2023-03-05 09:54:46+00:00,48.849555,2.35719,40.6
2023-03-05 09:54:47+00:00,48.849539,2.357134,40.6
2023-03-05 09:54:48+00:00,48.849533,2.35712,40.5
2023-03-05 09:54:49+00:00,48.8495,2.357045,40.5
2023-03-05 09:54:50+00:00,48.849484,2.357019,40.4
2023-03-05 09:54:51+00:00,48.849468,2.356993,40.4
2023-03-05 09:54:52+00:00,48.84944,2.356956,40.2
2023-03-05 09:54:53+00:00,48.849427,2.356951,39.8
2023-03-05 09:54:54+00:00,48.849381,2.356958,39.6
2023-03-05 09:54:55+00:00,48.849364,2.356971,39.6
2023-03-05 09:54:56+00:00,48.849347,2.356985,39.5
2023-03-05 09:54:57+00:00,48.849321,2.357031,39.4
2023-03-05 09:54:58+00:00,48.849308,2.35705,39.3
2023-03-05 09:54:59+00:00,48.849275,2.357104,39.1
2023-03-05 09:55:00+00:00,48.849259,2.357126,39.0
2023-03-05 09:55:01+00:00,48.849244,2.357148,39.0
2023-03-05 09:55:02+00:00,48.849212,2.357235,38.7
2023-03-05 09:55:03+00:00,48.849208,2.357268,38.7
2023-03-05 09:55:04+00:00,48.849203,2.3573,38.7
2023-03-05 09:55:05+00:00,48.849186,2.357352,38.6
2023-03-05 09:55:06+00:00,48.849177,2.357367,38.6
2023-03-05 09:55:07+00:00,48.849144,2.357434,38.5
2023-03-05 09:55:08+00:00,48.849129,2.357456,38.4
2023-03-05 09:55:09+00:00,48.849114,2.357478,38.4
2023-03-05 09:55:10+00:00,48.849085,2.357521,38.3
2023-03-05 09:55:11+00:00,48.84908,2.357539,38.3
2023-03-05 09:55:12+00:00,48.849052,2.357588,38.3
2023-03-05 09:55:13+00:00,48.849039,2.357607,38.2
2023-03-05 09:55:14+00:00,48.849026,2.357627,38.2
2023-03-05 09:55:15+00:00,48.848985,2.357681,38.2
2023-03-05 09:55:16+00:00,48.848972,2.357696,38.1
2023-03-05 09:55:17+00:00,48.848941,2.357746,38.1
2023-03-05 09:55:18+00:00,48.848926,2.357762,38.1
2023-03-05 09:55:19+00:00,48.848911,2.357779,38.1
2023-03-05 09:55:20+00:00,48.848876,2.357837,38.1
2023-03-05 09:55:21+00:00,48.848862,2.357858,38.0
2023-03-05 09:55:22+00:00,48.848836,2.357922,38.0
2023-03-05 09:55:23+00:00,48.848823,2.357945,38.0
2023-03-05 09:55:24+00:00,48.84881,2.357968,38.0
2023-03-05 09:55:25+00:00,48.848773,2.358021,38.0
2023-03-05 09:55:26+00:00,48.848754,2.358041,38.0
2023-03-05 09:55:27+00:00,48.848734,2.358061,38.0
2023-03-05 09:55:28+00:00,48.848702,2.358099,37.9
2023-03-05 09:55:29+00:00,48.848692,2.358114,37.9
2023-03-05 09:55:30+00:00,48.848661,2.358167,37.9
2023-03-05 09:55:31+00:00,48.848654,2.358189,37.9
2023-03-05 09:55:32+00:00,48.848647,2.358211,37.9
2023-03-05 09:55:33+00:00,48.848616,2.358238,37.9
2023-03-05 09:55:34+00:00,48.848606,2.358245,37.9
2023-03-05 09:55:35+00:00,48.848566,2.358261,37.9
2023-03-05 09:55:36+00:00,48.848549,2.358263,37.9
2023-03-05 09:55:37+00:00,48.848532,2.358265,37.9
2023-03-05 09:55:38+00:00,48.848496,2.358309,37.9
2023-03-05 09:55:39+00:00,48.848481,2.358329,37.8
2023-03-05 09:55:40+00:00,48.848445,2.358391,37.8
2023-03-05 09:55:41+00:00,48.84843,2.358414,37.8
2023-03-05 09:55:42+00:00,48.848415,2.358438,37.8
2023-03-05 09:55:43+00:00,48.8484,2.358509,37.8
2023-03-05 09:55:44+00:00,48.848392,2.358539,37.8
2023-03-05 09:55:45+00:00,48.848384,2.358568,37.8
2023-03-05 09:55:46+00:00,48.84834,2.358617,37.8
2023-03-05 09:55:47+00:00,48.848327,2.358628,37.8
2023-03-05 09:55:48+00:00,48.848286,2.358686,37.8
2023-03-05 09:55:49+00:00,48.84827,2.358704,37.8
2023-03-05 09:55:50+00:00,48.848254,2.358721,37.8
2023-03-05 09:55:51+00:00,48.848224,2.358766,37.8
2023-03-05 09:55:52+00:00,48.848216,2.358783,37.8
2023-03-05 09:55:53+00:00,48.848171,2.358844,37.8
2023-03-05 09:55:54+00:00,48.848157,2.35886,37.8
2023-03-05 09:55:55+00:00,48.848142,2.358875,37.8
2023-03-05 09:55:56+00:00,48.84812,2.358927,37.8
2023-03-05 09:55:57+00:00,48.84811,2.358941,37.8
2023-03-05 09:55:58+00:00,48.848077,2.358987,37.8
2023-03-05 09:55:59+00:00,48.848064,2.359011,37.8
2023-03-05 09:56:00+00:00,48.848051,2.359035,37.8
2023-03-05 09:56:01+00:00,48.848027,2.359095,37.8
2023-03-05 09:56:02+00:00,48.848019,2.359117,37.8
2023-03-05 09:56:03+00:00,48.847968,2.359154,37.8
2023-03-05 09:56:04+00:00,48.847951,2.359167,37.8
2023-03-05 09:56:05+00:00,48.847934,2.35918,37.8
2023-03-05 09:56:06+00:00,48.847901,2.359243,37.8
2023-03-05 09:56:07+00:00,48.847892,2.359266,37.8
2023-03-05 09:56:08+00:00,48.847883,2.359289,37.8
2023-03-05 09:56:09+00:00,48.847846,2.359336,37.8
2023-03-05 09:56:10+00:00,48.847836,2.359351,37.8
2023-03-05 09:56:11+00:00,48.847791,2.359403,37.8
2023-03-05 09:56:12+00:00,48.847771,2.359423,37.8
2023-03-05 09:56:13+00:00,48.847752,2.359444,37.8
2023-03-05 09:56:14+00:00,48.847717,2.359496,37.8
2023-03-05 09:56:15+00:00,48.847709,2.359513,37.8
2023-03-05 09:56:16+00:00,48.847671,2.359575,37.8
2023-03-05 09:56:17+00:00,48.847659,2.359598,37.8
2023-03-05 09:56:18+00:00,48.847647,2.359621,37.8
2023-03-05 09:56:19+00:00,48.847615,2.359673,37.8
2023-03-05 09:56:20+00:00,48.847601,2.359692,37.8
2023-03-05 09:56:21+00:00,48.847572,2.359754,37.8
2023-03-05 09:56:22+00:00,48.847561,2.359779,37.8
2023-03-05 09:56:23+00:00,48.84755,2.359805,37.7
2023-03-05 09:56:24+00:00,48.847512,2.359852,37.7
2023-03-05 09:56:25+00:00,48.847498,2.359867,37.7
2023-03-05 09:56:26+00:00,48.847465,2.359923,37.7
2023-03-05 09:56:27+00:00,48.847455,2.359943,37.7
2023-03-05 09:56:28+00:00,48.847445,2.359963,37.7
2023-03-05 09:56:29+00:00,48.847401,2.360016,37.8
2023-03-05 09:56:30+00:00,48.847386,2.360038,37.8
2023-03-05 09:56:31+00:00,48.84737,2.360061,37.8
2023-03-05 09:56:32+00:00,48.847344,2.3601,37.8
2023-03-05 09:56:33+00:00,48.847329,2.360112,37.8
2023-03-05 09:56:34+00:00,48.847298,2.360165,37.8
2023-03-05 09:56:35+00:00,48.847284,2.360187,37.8
2023-03-05 09:56:36+00:00,48.84727,2.360209,37.8
2023-03-05 09:56:37+00:00,48.847234,2.360259,37.9
2023-03-05 09:56:38+00:00,48.847224,2.360272,37.9
2023-03-05 09:56:39+00:00,48.847184,2.360337,37.9
2023-03-05 09:56:40+00:00,48.847169,2.360361,37.9
2023-03-05 09:56:41+00:00,48.847153,2.360386,37.9
2023-03-05 09:56:42+00:00,48.847116,2.36042,37.9
2023-03-05 09:56:43+00:00,48.847104,2.360428,37.9
2023-03-05 09:56:44+00:00,48.847074,2.360487,37.9
2023-03-05 09:56:45+00:00,48.847063,2.360506,38.0
2023-03-05 09:56:46+00:00,48.847052,2.360525,38.0
2023-03-05 09:56:47+00:00,48.84702,2.360579,38.0
2023-03-05 09:56:48+00:00,48.847005,2.360605,38.0
2023-03-05 09:56:49+00:00,48.84699,2.360631,38.0
2023-03-05 09:56:50+00:00,48.846958,2.360671,38.0
2023-03-05 09:56:51+00:00,48.846944,2.360679,38.0
2023-03-05 09:56:52+00:00,48.846909,2.36073,38.0
2023-03-05 09:56:53+00:00,48.8469,2.360755,38.1
2023-03-05 09:56:54+00:00,48.846891,2.360779,38.1
2023-03-05 09:56:55+00:00,48.846872,2.360835,38.1
2023-03-05 09:56:56+00:00,48.846866,2.360851,38.1
2023-03-05 09:56:57+00:00,48.846827,2.36092,38.2
2023-03-05 09:56:58+00:00,48.846815,2.360943,38.2
2023-03-05 09:56:59+00:00,48.846803,2.360966,38.2
2023-03-05 09:57:00+00:00,48.84677,2.361008,38.2
2023-03-05 09:57:01+00:00,48.846756,2.361026,38.2
2023-03-05 09:57:02+00:00,48.846723,2.361072,38.2
2023-03-05 09:57:03+00:00,48.846709,2.361092,38.2
2023-03-05 09:57:04+00:00,48.846695,2.361112,38.2
2023-03-05 09:57:05+00:00,48.846664,2.36116,38.3
2023-03-05 09:57:06+00:00,48.846656,2.361174,38.3
2023-03-05 09:57:07+00:00,48.846618,2.361226,38.3
2023-03-05 09:57:08+00:00,48.846606,2.361247,38.3
2023-03-05 09:57:09+00:00,48.846594,2.361267,38.3
2023-03-05 09:57:10+00:00,48.846555,2.361323,38.4
2023-03-05 09:57:11+00:00,48.846542,2.361351,38.4
2023-03-05 09:57:12+00:00,48.846529,2.36138,38.4
2023-03-05 09:57:13+00:00,48.846496,2.361429,38.4
2023-03-05 09:57:14+00:00,48.846481,2.361439,38.4
2023-03-05 09:57:15+00:00,48.846445,2.361488,38.4
2023-03-05 09:57:16+00:00,48.846432,2.361507,38.4
2023-03-05 09:57:17+00:00,48.84642,2.361526,38.4
2023-03-05 09:57:18+00:00,48.84638,2.361578,38.5
2023-03-05 09:57:19+00:00,48.846371,2.361594,38.5
2023-03-05 09:57:20+00:00,48.846329,2.361628,38.5
2023-03-05 09:57:21+00:00,48.846317,2.361646,38.5
2023-03-05 09:57:22+00:00,48.846305,2.361665,38.5
2023-03-05 09:57:23+00:00,48.846258,2.361722,38.5
2023-03-05 09:57:25+00:00,48.846239,2.361752,38.5
2023-03-05 09:57:26+00:00,48.84622,2.361782,38.5
2023-03-05 09:57:27+00:00,48.846201,2.361812,38.5
2023-03-05 09:57:28+00:00,48.846182,2.361842,38.6
2023-03-05 09:57:29+00:00,48.846163,2.361872,38.6
2023-03-05 09:57:30+00:00,48.84613,2.361932,38.6
2023-03-05 09:57:31+00:00,48.846116,2.361957,38.6
2023-03-05 09:57:32+00:00,48.846103,2.361981,38.6
2023-03-05 09:57:33+00:00,48.84607,2.362034,38.6
2023-03-05 09:57:34+00:00,48.846056,2.362053,38.6
2023-03-05 09:57:35+00:00,48.846041,2.362072,38.7
2023-03-05 09:57:36+00:00,48.846007,2.362127,38.7
2023-03-05 09:57:37+00:00,48.845995,2.362146,38.7
2023-03-05 09:57:38+00:00,48.84596,2.362204,38.7
2023-03-05 09:57:39+00:00,48.845946,2.362225,38.7
2023-03-05 09:57:40+00:00,48.845932,2.362247,38.7
2023-03-05 09:57:41+00:00,48.845903,2.362286,38.7
2023-03-05 09:57:42+00:00,48.845893,2.362297,38.7
2023-03-05 09:57:43+00:00,48.845858,2.362328,38.8
2023-03-05 09:57:44+00:00,48.845845,2.362345,38.8
2023-03-05 09:57:45+00:00,48.845831,2.362361,38.8
2023-03-05 09:57:46+00:00,48.845802,2.362403,38.8
2023-03-05 09:57:47+00:00,48.845792,2.362416,38.8
2023-03-05 09:57:48+00:00,48.845757,2.362464,38.8
2023-03-05 09:57:49+00:00,48.845744,2.362483,38.8
2023-03-05 09:57:50+00:00,48.845731,2.362502,38.8
2023-03-05 09:57:51+00:00,48.845701,2.362547,38.9
2023-03-05 09:57:52+00:00,48.845685,2.362566,38.9
2023-03-05 09:57:53+00:00,48.845668,2.362585,38.9
2023-03-05 09:57:54+00:00,48.845637,2.362627,38.9
2023-03-05 09:57:55+00:00,48.845627,2.362643,38.9
2023-03-05 09:57:56+00:00,48.845584,2.362691,38.9
2023-03-05 09:57:57+00:00,48.845569,2.362712,38.9
2023-03-05 09:57:58+00:00,48.845554,2.362733,39.0
2023-03-05 09:57:59+00:00,48.845513,2.362808,39.0
2023-03-05 09:58:00+00:00,48.845503,2.362828,39.0
2023-03-05 09:58:01+00:00,48.845472,2.362881,39.1
2023-03-05 09:58:02+00:00,48.845462,2.362901,39.1
2023-03-05 09:58:03+00:00,48.845453,2.362921,39.1
2023-03-05 09:58:04+00:00,48.845432,2.362975,39.1
2023-03-05 09:58:05+00:00,48.845422,2.362993,39.1
2023-03-05 09:58:06+00:00,48.845384,2.363037,39.1
2023-03-05 09:58:07+00:00,48.845368,2.363058,39.1
2023-03-05 09:58:08+00:00,48.845352,2.363079,39.2
2023-03-05 09:58:09+00:00,48.845329,2.363138,39.2
2023-03-05 09:58:10+00:00,48.84532,2.363154,39.2
2023-03-05 09:58:11+00:00,48.845291,2.363199,39.2
2023-03-05 09:58:12+00:00,48.845279,2.363219,39.2
2023-03-05 09:58:13+00:00,48.845266,2.363238,39.2
2023-03-05 09:58:14+00:00,48.84523,2.363286,39.3
2023-03-05 09:58:15+00:00,48.845218,2.363308,39.3
2023-03-05 09:58:16+00:00,48.845205,2.363329,39.3
2023-03-05 09:58:17+00:00,48.845177,2.363369,39.3
2023-03-05 09:58:18+00:00,48.845166,2.363385,39.3
2023-03-05 09:58:19+00:00,48.845139,2.363435,39.4
2023-03-05 09:58:20+00:00,48.845127,2.36346,39.4
2023-03-05 09:58:21+00:00,48.845114,2.363485,39.4
2023-03-05 09:58:22+00:00,48.845079,2.363533,39.4
2023-03-05 09:58:23+00:00,48.845068,2.363548,39.4
2023-03-05 09:58:24+00:00,48.845043,2.363609,39.4
2023-03-05 09:58:25+00:00,48.845029,2.363637,39.4
2023-03-05 09:58:26+00:00,48.845015,2.363665,39.4
2023-03-05 09:58:27+00:00,48.844977,2.363714,39.5
2023-03-05 09:58:28+00:00,48.844965,2.363731,39.5
2023-03-05 09:58:29+00:00,48.844943,2.363787,39.5
2023-03-05 09:58:30+00:00,48.844935,2.363808,39.5
2023-03-05 09:58:31+00:00,48.844927,2.363828,39.5
2023-03-05 09:58:32+00:00,48.844899,2.363869,39.5
2023-03-05 09:58:33+00:00,48.844883,2.363881,39.6
2023-03-05 09:58:34+00:00,48.844848,2.363931,39.6
2023-03-05 09:58:35+00:00,48.844834,2.36396,39.6
2023-03-05 09:58:36+00:00,48.84482,2.363989,39.7
2023-03-05 09:58:37+00:00,48.84478,2.364045,39.8
2023-03-05 09:58:38+00:00,48.844763,2.36406,39.8
2023-03-05 09:58:39+00:00,48.844747,2.364075,39.9
2023-03-05 09:58:40+00:00,48.844724,2.364114,40.0
2023-03-05 09:58:41+00:00,48.844717,2.364128,40.1
2023-03-05 09:58:42+00:00,48.844671,2.36418,40.3
2023-03-05 09:58:43+00:00,48.844653,2.364204,40.4
2023-03-05 09:58:44+00:00,48.844635,2.364229,40.5
2023-03-05 09:58:45+00:00,48.8446,2.364272,40.6
2023-03-05 09:58:46+00:00,48.844584,2.364285,40.6
2023-03-05 09:58:47+00:00,48.844554,2.364331,40.7
2023-03-05 09:58:48+00:00,48.844538,2.364351,40.8
2023-03-05 09:58:49+00:00,48.844523,2.364371,40.9
2023-03-05 09:58:50+00:00,48.844496,2.364413,41.0
2023-03-05 09:58:51+00:00,48.84449,2.364428,41.0
2023-03-05 09:58:52+00:00,48.844451,2.364488,41.2
2023-03-05 09:58:53+00:00,48.844438,2.364513,41.2
2023-03-05 09:58:54+00:00,48.844426,2.364538,41.2
2023-03-05 09:58:55+00:00,48.844392,2.364589,41.2
2023-03-05 09:58:56+00:00,48.844376,2.364612,41.2
2023-03-05 09:58:57+00:00,48.844361,2.364635,41.2
2023-03-05 09:58:58+00:00,48.844323,2.36468,41.2
2023-03-05 09:58:59+00:00,48.844311,2.364692,41.3
2023-03-05 09:59:00+00:00,48.84427,2.36474,41.7
2023-03-05 09:59:01+00:00,48.844251,2.364759,41.9
2023-03-05 09:59:02+00:00,48.844232,2.364778,41.9
2023-03-05 09:59:03+00:00,48.844184,2.364801,41.9
2023-03-05 09:59:04+00:00,48.844172,2.36481,41.9
2023-03-05 09:59:05+00:00,48.844112,2.364835,42.0
2023-03-05 09:59:06+00:00,48.844091,2.364846,42.0
2023-03-05 09:59:07+00:00,48.844071,2.364857,41.9
2023-03-05 09:59:08+00:00,48.84403,2.364866,41.9
2023-03-05 09:59:09+00:00,48.844014,2.364869,41.8
2023-03-05 09:59:10+00:00,48.843963,2.364887,41.8
2023-03-05 09:59:11+00:00,48.843944,2.364895,41.7
2023-03-05 09:59:12+00:00,48.843924,2.364904,41.7
2023-03-05 09:59:13+00:00,48.843883,2.364939,41.6
