pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,21/07/2023,82.2,-3.15,4.74,"Acuña Jr., Ronald",660670,642547,field_out,hit_into_play,,,,,5,"Ronald Acuna Jr.  grounds out, third baseman Andruw Monasterio to first baseman Victor Caratini.",R,R,R,MIL,ATL,X,5,ground_ball,0,0,2023,1.25,0.24,-0.19,2.53,,606115,,2,4,Top,99.99,164.12,,,661388,,,4.332044321,-119.5908804,1.15441773,10.97202137,24.95653528,-30.39357508,3.48,1.62,8,96.9,-19,82.6,2141,6.8,717313,642547,661388,605170,668930,655316,642715,592885,686894,663368,53.72,0.174,0.16,0,1,0,0,2,31,1,Slider,2,5,5,2,5,2,5,2,Standard,Standard,87,0.019,-0.333
SL,21/07/2023,83.2,-2.94,4.97,"Acuña Jr., Ronald",660670,642547,strikeout,swinging_strike,,,,,8,Ronald Acuna Jr.  strikes out swinging.,R,R,R,MIL,ATL,S,2,,2,2,2023,0.55,-0.41,-0.16,1.8,,,671739,2,2,Top,,,,,661388,,,5.366045864,-121.1357263,-0.015105886,4.393413042,23.17080834,-36.40851463,3.48,1.62,,,,84.4,2370,7,717313,642547,661388,605170,668930,655316,642715,592885,686894,663368,53.48,,,0,1,0,0,,15,5,Slider,2,3,3,2,3,2,3,2,Standard,Standard,82,0.022,-0.195
CH,21/07/2023,88.5,-3.02,5.03,"Acuña Jr., Ronald",660670,642547,,ball,,,,,13,Ronald Acuna Jr.  strikes out swinging.,R,R,R,MIL,ATL,B,,,1,2,2023,-1.11,0.52,-1.13,0.8,,,671739,2,2,Top,,,,,661388,,,7.028255458,-128.6788156,-5.388626369,-13.83700081,26.6053206,-25.46449528,3.48,1.62,,,,89.8,1769,7.1,717313,642547,661388,605170,668930,655316,642715,592885,686894,663368,53.36,,,,,,,,15,4,Changeup,2,3,3,2,3,2,3,2,Standard,Standard,238,0,0.026
SL,21/07/2023,82.3,-2.81,4.8,"Acuña Jr., Ronald",660670,642547,,blocked_ball,,,,,14,Ronald Acuna Jr.  strikes out swinging.,R,R,R,MIL,ATL,B,,,0,2,2023,0.25,-0.05,1.44,0.38,,,671739,2,2,Top,,,,,661388,,,9.320552391,-119.5783398,-3.433652138,0.618623579,22.81736588,-32.18352641,3.48,1.62,,,,83.7,2202,7.3,717313,642547,661388,605170,668930,655316,642715,592885,686894,663368,53.2,,,,,,,,15,3,Slider,2,3,3,2,3,2,3,2,Standard,Standard,90,0,0.014
FF,21/07/2023,95.2,-2.77,5.1,"Acuña Jr., Ronald",660670,642547,,foul,,,,,5,Ronald Acuna Jr.  strikes out swinging.,R,R,R,MIL,ATL,S,,,0,1,2023,-0.57,1.33,0.07,2.79,,,671739,2,2,Top,,,,,661388,,,8.835792234,-138.4111689,-3.433693874,-9.260161749,31.00174612,-14.532545,3.48,1.62,241,75.9,30,96.3,2400,7,717313,642547,661388,605170,668930,655316,642715,592885,686894,663368,53.52,,,,,,,,15,2,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,211,0,-0.043
FF,21/07/2023,96,-2.92,5.05,"Acuña Jr., Ronald",660670,642547,,swinging_strike,,,,,4,Ronald Acuna Jr.  strikes out swinging.,R,R,R,MIL,ATL,S,,,0,0,2023,-0.74,1.37,-0.56,2.56,,,671739,2,2,Top,,,,,661388,,,8.029897996,-139.6070751,-4.12097051,-11.49323308,31.68395936,-13.52945858,3.48,1.62,,,,97.1,2401,7,717313,642547,661388,605170,668930,655316,642715,592885,686894,663368,53.55,,,,,,,,15,1,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,212,0,-0.039
SI,21/07/2023,97.8,-1.84,5.56,"Acuña Jr., Ronald",660670,650496,field_out,hit_into_play,,,,,8,"Ronald Acuna Jr.  grounds out, shortstop Willy Adames to first baseman Victor Caratini.",R,R,R,MIL,ATL,X,6,ground_ball,3,2,2023,-1.44,0.23,0.04,1.88,,,,2,9,Top,110.65,150.39,,,661388,,,8.444116952,-142.1637611,-4.993714509,-21.47294258,32.22952282,-28.10744571,3.48,1.62,13,103.6,-8,98.6,2214,6.7,717313,650496,661388,605170,668930,655316,642715,592885,663368,606132,53.75,0.306,0.275,0,1,0,0,2,67,6,Sinker,4,6,6,4,6,4,6,4,Standard,Standard,237,0.003,-0.13
SI,21/07/2023,97.2,-1.71,5.5,"Acuña Jr., Ronald",660670,650496,,ball,,,,,14,"Ronald Acuna Jr.  grounds out, shortstop Willy Adames to first baseman Victor Caratini.",R,R,R,MIL,ATL,B,,,2,2,2023,-1.11,0.08,1.36,2.2,,,,2,9,Top,,,,,661388,,,10.83552128,-141.1934608,-3.536638087,-17.16831307,29.89431209,-30.46140486,3.48,1.62,,,,98.1,2117,6.7,717313,650496,661388,605170,668930,655316,642715,592885,663368,606132,53.78,,,,,,,,67,5,Sinker,4,6,6,4,6,4,6,4,Standard,Standard,234,0,0.04
SI,21/07/2023,96.9,-1.69,5.55,"Acuña Jr., Ronald",660670,650496,,called_strike,,,,,8,"Ronald Acuna Jr.  grounds out, shortstop Willy Adames to first baseman Victor Caratini.",R,R,R,MIL,ATL,S,,,2,1,2023,-1.43,0.23,0.25,1.74,,,,2,9,Top,,,,,661388,,,8.515919226,-140.7821473,-5.188593082,-20.92856587,31.25729791,-28.18171368,3.48,1.62,,,,97.7,2223,6.8,717313,650496,661388,605170,668930,655316,642715,592885,663368,606132,53.75,,,,,,,,67,4,Sinker,4,6,6,4,6,4,6,4,Standard,Strategic,237,0,-0.032
SI,21/07/2023,96.5,-1.86,5.5,"Acuña Jr., Ronald",660670,650496,,called_strike,,,,,8,"Ronald Acuna Jr.  grounds out, shortstop Willy Adames to first baseman Victor Caratini.",R,R,R,MIL,ATL,S,,,2,0,2023,-1.36,0.2,0.11,1.63,,,,2,9,Top,,,,,661388,,,8.419116289,-140.2430554,-5.216566987,-19.85363019,30.25776339,-28.50932738,3.48,1.62,,,,97.4,2247,6.7,717313,650496,661388,605170,668930,655316,642715,592885,663368,606132,53.76,,,,,,,,67,3,Sinker,4,6,6,4,6,4,6,4,Standard,Strategic,233,0,-0.022
