"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-08-26","93.8","1.85","5.46","Acuña Jr., Ronald",660670,640455,"field_out","hit_into_play",,,,,2,"Ronald Acuna Jr.  grounds out, shortstop Paul DeJong to first baseman J.  D. Davis.","R","R","L","SF","ATL","X",6,"ground_ball",2,2,2023,"1.21","0.75","0.11","3.2",,,,2,4,"Top",119.9,155.43,,,672275,,,-7.284089030476092,-136.64163442862153,-1.9016845558714308,16.637071158178227,24.33752977718672,-22.50862975534186,"3.49","1.59",36,"84.4",-2,"95.9",1900,"7",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.49",0.16,0.144,"0",1,0,0,2,33,5,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",135,"0.013","-0.09"
"ST","2023-08-26","79.1","2.03","5.72","Acuña Jr., Ronald",660670,640455,,"called_strike",,,,,12,"Ronald Acuna Jr.  grounds out, shortstop Paul DeJong to first baseman J.  D. Davis.","R","R","L","SF","ATL","S",,,2,1,2023,"-0.85","-0.01","0.92","3.09",,,,2,4,"Top",,,,,672275,,,-0.858052966154081,-115.34551425943268,0.9812759850109176,-7.539749419930229,18.769687894192174,-32.62426748400702,"3.24","1.48",,,,"80.3",2072,"6.7",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.78",,,,,,,,33,4,"Sweeper",2,2,2,2,2,2,2,2,"Standard","Standard",284,"0","-0.033"
"FF","2023-08-26","93.7","1.83","5.56","Acuña Jr., Ronald",660670,640455,,"ball",,,,,12,"Ronald Acuna Jr.  grounds out, shortstop Paul DeJong to first baseman J.  D. Davis.","R","R","L","SF","ATL","B",,,1,1,2023,"1.2","0.95","0.03","3.92",,,,2,4,"Top",,,,,672275,,,-7.409090518649526,-136.3532003523757,-0.6308575717312346,16.568972371719884,27.801002521662564,-20.375494632431423,"3.27","1.42",,,,"95.4",2030,"7.1",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.38",,,,,,,,33,3,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",137,"0","0.022"
"FF","2023-08-26","93.7","1.97","5.5","Acuña Jr., Ronald",660670,640455,,"called_strike",,,,,3,"Ronald Acuna Jr.  grounds out, shortstop Paul DeJong to first baseman J.  D. Davis.","R","R","L","SF","ATL","S",,,1,0,2023,"1.2","0.77","0.38","3.32",,,,2,4,"Top",,,,,672275,,,-6.846641036513705,-136.48431891715214,-1.715168452991504,16.51701983310444,26.19904089754929,-22.29377011692131,"3.43","1.54",,,,"95.3",2047,"6.9",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.6",,,,,,,,33,2,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",131,"0","-0.022"
"ST","2023-08-26","79.7","1.97","5.68","Acuña Jr., Ronald",660670,640455,,"ball",,,,,13,"Ronald Acuna Jr.  grounds out, shortstop Paul DeJong to first baseman J.  D. Davis.","R","R","L","SF","ATL","B",,,0,0,2023,"-1.13","0.11","-0.98","2.17",,,,2,4,"Top",,,,,672275,,,-4.394348498714578,-116.06548087008744,-1.1553523145144506,-9.309538020552747,22.53459956030467,-31.219963132124978,"3.24","1.33",,,,"80.5",2145,"6.9",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.62",,,,,,,,33,1,"Sweeper",2,2,2,2,2,2,2,2,"Standard","Standard",269,"0","0.018"
"SL","2023-08-26","86.2","-2.24","5.84","Acuña Jr., Ronald",660670,596001,"field_out","hit_into_play",,,,,4,"Ronald Acuna Jr.  lines out to left fielder Joc Pederson.","R","R","R","SF","ATL","X",7,"line_drive",1,1,2023,"0.96","0.17","-0.29","2.79",,669221,,2,8,"Top",74.18,74.48,,,672275,,,2.6627133007247386,-125.60917572560432,-1.4453910515645978,9.770365883612348,23.449410275859016,-30.251976712542444,"3.49","1.59",333,"93.9",22,"85.8",2412,"5.8",716848,596001,672275,605204,642731,669477,657557,592626,685133,671218,"54.69",0.206,0.248,"0",1,0,0,3,66,3,"Slider",2,7,7,2,7,2,7,2,"Standard","Standard",61,"0.002","-0.303"
"CH","2023-08-26","90.1","-2.05","5.77","Acuña Jr., Ronald",660670,596001,,"ball",,,,,14,"Ronald Acuna Jr.  lines out to left fielder Joc Pederson.","R","R","R","SF","ATL","B",,,0,1,2023,"-1.04","-0.01","1.07","-0.4",,,669221,2,8,"Top",,,,,672275,,,9.880099596347797,-130.63631725508958,-9.298467760559674,-13.8284457366919,24.89091836810509,-30.627496751339713,"3.48","1.47",,,,"89.8",1334,"6.1",716848,596001,672275,605204,642731,669477,657557,592626,685133,671218,"54.4",,,,,,,,66,2,"Changeup",2,7,7,2,7,2,7,2,"Standard","Standard",237,"-0.001","0.023"
"SL","2023-08-26","85.5","-2.22","5.87","Acuña Jr., Ronald",660670,596001,,"called_strike",,,,,6,"Ronald Acuna Jr.  lines out to left fielder Joc Pederson.","R","R","R","SF","ATL","S",,,0,0,2023,"0.99","-0.21","0.34","2.34",,,669221,2,8,"Top",,,,,672275,,,4.020737175625796,-124.50955241841855,-1.648554133880012,9.586521529878494,23.724147201221907,-34.26669907234548,"3.48","1.59",,,,"85",2386,"5.8",716848,596001,672275,605204,642731,669477,657557,592626,685133,671218,"54.69",,,,,,,,66,1,"Slider",2,7,7,2,7,2,7,2,"Standard","Standard",48,"0","-0.04"
"FF","2023-08-26","94.2","1.99","5.58","Acuña Jr., Ronald",660670,640455,"single","hit_into_play",,,,,5,"Ronald Acuna Jr.  singles on a line drive to right fielder Luis Matos.","R","R","L","SF","ATL","X",9,"line_drive",3,2,2023,"1.19","0.93","-0.22","2.46",,,,0,3,"Top",190.84,136.88,,,672275,,,-8.492526880820984,-136.95889649201624,-4.560349597350379,16.732920165251677,27.63330064423231,-19.689483258024886,"3.49","1.59",192,"82",15,"95.8",1883,"7.1",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.41",0.929,0.878,"0.9",1,1,0,4,18,7,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",135,"-0.034","0.308"
"FF","2023-08-26","95","2.04","5.58","Acuña Jr., Ronald",660670,640455,,"ball",,,,,12,"Ronald Acuna Jr.  singles on a line drive to right fielder Luis Matos.","R","R","L","SF","ATL","B",,,2,2,2023,"1.25","0.93","1.78","3.63",,,,0,3,"Top",,,,,672275,,,-3.5183619041722496,-138.51052091914858,-1.6330953169933284,16.869376171865532,27.51916564440946,-19.949122683293094,"3.4","1.43",,,,"96.9",1963,"7",716848,640455,672275,605204,642731,669477,657557,671218,596103,682641,"53.49",,,,,,,,18,6,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",133,"0","0.102"
