50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,73d302be-c474-47b0-b465-d276046f96a5,1,,,3906390,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 45295, 'name': 'Catalina Thomas Coll Lluch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10165, 'name': 'Irene Paredes Hernandez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 32694, 'name': 'Laia Codina Panedas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 49836, 'name': 'Olga  Carmona García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 49835, 'name': 'Teresa Abelleira Dueñas'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 15284, 'name': 'Aitana Bonmati Conca'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 50151, 'name': 'Alba María Redondo Ferrer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 10151, 'name': 'Jennifer Hermoso Fuentes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 10161, 'name': 'María Francesca Caldentey Oliver'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 222682, 'name': 'Salma Paralluelo Ayingono'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Spain Women's,863,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cbad5dd0-01cd-4be0-8693-15942b19d363,2,,,3906390,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 9}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,62cea4b4-febc-4df9-8df0-a134ed91e70f,3,,,3906390,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['ebcc30be-9a0a-4f38-b241-8c8dd9834589'],0,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ebcc30be-9a0a-4f38-b241-8c8dd9834589,4,,,3906390,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['62cea4b4-febc-4df9-8df0-a134ed91e70f'],0,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31c630c8-d7a8-46a8-ad16-123c44600ab6,1913,,,3906390,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Spain Women's,863,['e4a3e49f-6483-41b5-b2df-70b8ca69fde8'],0,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e4a3e49f-6483-41b5-b2df-70b8ca69fde8,1914,,,3906390,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Spain Women's,863,['31c630c8-d7a8-46a8-ad16-123c44600ab6'],0,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.781021,,,,,,,,,,,,,30728cd8-f0a6-4535-8f24-16a37a1d4f08,5,,"[61.0, 40.1]",3906390,0,,,,,-2.951979,,Right Foot,,,,"[51.1, 38.2]",,Ground Pass,,10.080674,,,,Keira Walsh,,,,,,Kick Off,1,From Kick Off,Ella Toone,31534.0,Center Attacking Midfield,2,England Women's,865,['b796b4f0-d521-4d6a-903e-b63c45120ec9'],0,,,,,,,,,,,,,,,England Women's,865,00:00:00.563,Pass,
,,,,,,,,,,,,,,,,,,2.136094,,,,,,,,,,,,,e8c2285a-79c8-4625-8d34-6cc11700a499,8,,"[51.1, 38.0]",3906390,0,,,,,2.7618265,,Left Foot,,,,"[27.8, 47.3]",,Ground Pass,,25.087446,,,,Millie Bright,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Left Defensive Midfield,2,England Women's,865,['9be5ef4d-5b8d-4fb8-8681-03bf05e85e84'],2,,,,,,,,,,,,,,,England Women's,865,00:00:02.034,Pass,
,,,,,,,,,,,,,,,,,,1.341298,,,,,,,,,,,,,deaf5427-246e-4664-a6b5-fb2405cdeb08,11,,"[27.8, 47.4]",3906390,0,,,,,1.4601392,,Right Foot,,,,"[29.5, 62.7]",,Ground Pass,,15.394155,,,,Jessica Carter,,,,,,,1,From Kick Off,Millie Bright,4642.0,Center Back,2,England Women's,865,['e87b419d-1e1b-49bc-ad8e-0e59519c3870'],4,,,,,,,,,,,,,,,England Women's,865,00:00:04.977,Pass,
,,,,,,,,,,,,,,,,,,2.447626,,,,,,,,,,,,,6f775aa2-0ac1-4391-a718-1dd55686aa3b,14,,"[44.7, 74.4]",3906390,0,,,,,-0.09431395,,Right Foot,,,,"[89.1, 70.2]",,High Pass,,44.598206,,Incomplete,,Lauren Hemp,,,,,,,1,From Kick Off,Jessica Carter,19422.0,Right Center Back,2,England Women's,865,"['3f5e9185-1093-4d57-888a-60099b57295c', 'e997a527-6a2e-46da-99f7-7478c6f41976']",9,,,,,,,,,,,,,,,England Women's,865,00:00:09.105,Pass,
