match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3904629,2023-08-16,13:00:00.000,International - Women's World Cup,2023,Australia Women's,England Women's,1,3,available,available,2023-08-30T11:15:11.306289,2023-08-30T11:17:47.551826,6,Semi-finals,Accor Stadium,Tori Penso,Tony Gustavsson,Sarina Glotzbach-Wiegman,1.1.0,2,2
3906390,2023-08-20,13:00:00.000,International - Women's World Cup,2023,Spain Women's,England Women's,1,0,available,available,2023-08-22T19:29:29.948278,2023-08-22T19:38:43.965521,7,Final,Accor Stadium,Tori Penso,Jorge Vilda,Sarina Glotzbach-Wiegman,1.1.0,2,2
3906389,2023-08-19,11:00:00.000,International - Women's World Cup,2023,Sweden Women's,Australia Women's,2,0,available,available,2023-08-29T21:16:28.091391,2023-08-29T21:19:57.035390,7,3rd Place Final,Brisbane Stadium,Cheryl Foster,Peter Gerhardsson,Tony Gustavsson,1.1.0,2,2
3904628,2023-08-15,11:00:00.000,International - Women's World Cup,2023,Spain Women's,Sweden Women's,2,1,available,available,2023-08-16T03:41:23.763496,2023-08-16T11:30:31.556462,6,Semi-finals,Eden Park,Edina Alves Batista,Jorge Vilda,Peter Gerhardsson,1.1.0,2,2
3893806,2023-07-26,10:30:00.000,International - Women's World Cup,2023,Spain Women's,Zambia Women's,5,0,available,available,2023-08-15T02:56:48.548242,2023-08-15T02:58:57.266594,2,Group Stage,Eden Park,Hyeon-Jeong Oh,Jorge Vilda,Bruce Mwape,1.1.0,2,2
3893801,2023-07-24,14:00:00.000,International - Women's World Cup,2023,Brazil Women's,Panama Women's,4,0,available,available,2023-08-15T03:16:13.146076,2023-08-15T03:18:08.766850,1,Group Stage,Coopers Stadium,Cheryl Foster,Pia Mariane Sundhage,Ignacio Quintana Toledo,1.1.0,2,2
3893797,2023-07-23,10:30:00.000,International - Women's World Cup,2023,Netherlands Women's,Portugal Women's,1,0,available,available,2023-08-15T02:38:46.816155,2023-08-15T02:40:19.749196,1,Group Stage,Forsyth Barr,,Andries Jonker,Francisco Miguel Conceição Roque Neto,1.1.0,2,2
3893822,2023-07-31,10:00:00.000,International - Women's World Cup,2023,Japan Women's,Spain Women's,4,0,available,available,2023-08-15T03:17:41.945052,2023-08-15T03:20:22.749909,3,Group Stage,Wellington Regional Stadium,Katja Koroleva,Futoshi Ikeda,Jorge Vilda,1.1.0,2,2
3893814,2023-07-29,10:30:00.000,International - Women's World Cup,2023,Sweden Women's,Italy Women's,5,0,available,available,2023-08-15T02:40:01.211524,2023-08-15T02:40:42.886046,2,Group Stage,Wellington Regional Stadium,Cheryl Foster,Peter Gerhardsson,Milena Bertolini,1.1.0,2,2
3893790,2023-07-21,05:30:00.000,International - Women's World Cup,2023,Nigeria Women's,Canada Women's,0,0,available,available,2023-08-15T01:27:08.890984,2023-08-15T01:27:44.637065,1,Group Stage,AAMI Park,Lina Lehtovaara,Randy Marlon Waldrum,Beverly Priestman,1.1.0,2,2
3901832,2023-08-08,11:00:00.000,International - Women's World Cup,2023,Colombia Women's,Jamaica Women's,1,0,available,available,2023-08-29T20:40:05.907708,2023-08-29T20:47:22.698938,4,Round of 16,AAMI Park,Kate Jacewicz,Nelson Abadía Aragón,Lorne Julian Donaldson,1.1.0,2,2
3902968,2023-08-12,10:00:00.000,International - Women's World Cup,2023,Australia Women's,France Women's,0,0,available,available,2023-08-31T14:29:37.548707,2023-08-31T14:34:02.359150,5,Quarter-finals,Brisbane Stadium,María Belén Carvajal Peña,Tony Gustavsson,Hervé Renard,1.1.0,2,2
3902967,2023-08-12,13:30:00.000,International - Women's World Cup,2023,England Women's,Colombia Women's,2,1,available,available,2023-08-31T18:32:04.562448,2023-08-31T18:33:33.643867,5,Quarter-finals,Accor Stadium,Katja Koroleva,Sarina Glotzbach-Wiegman,Nelson Abadía Aragón,1.1.0,2,2
3901797,2023-08-06,12:00:00.000,International - Women's World Cup,2023,Sweden Women's,United States Women's,0,0,available,available,2023-08-23T15:04:15.812989,2023-08-23T15:07:14.382077,4,Round of 16,AAMI Park,Stéphanie Frappart,Peter Gerhardsson,Vlatko Andonovski,1.1.0,2,2
3901796,2023-08-06,05:00:00.000,International - Women's World Cup,2023,Netherlands Women's,South Africa Women's,2,0,available,available,2023-08-07T07:10:53.729932,2023-08-07T21:56:45.627086,4,Round of 16,Allianz Stadium (Sydney),Yoshimi Yamashita,Andries Jonker,Desiree Ellis,1.1.0,2,2
3902240,2023-08-11,04:00:00.000,International - Women's World Cup,2023,Spain Women's,Netherlands Women's,2,1,available,available,2023-08-12T12:10:27.546657,2023-08-14T09:22:25.109084,5,Quarter-finals,Wellington Regional Stadium,Stéphanie Frappart,Jorge Vilda,Andries Jonker,1.1.0,2,2
3902239,2023-08-11,10:30:00.000,International - Women's World Cup,2023,Japan Women's,Sweden Women's,1,2,available,available,2023-08-27T02:34:02.478694,2023-08-27T02:35:10.998462,5,Quarter-finals,Eden Park,Esther Staubli,Futoshi Ikeda,Peter Gerhardsson,1.1.0,2,2
3893808,2023-07-27,04:00:00.000,International - Women's World Cup,2023,United States Women's,Netherlands Women's,1,1,available,available,2023-08-31T00:34:51.122643,2023-08-31T00:35:33.227438,2,Group Stage,Wellington Regional Stadium,Yoshimi Yamashita,Vlatko Andonovski,Andries Jonker,1.1.0,2,2
