title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe,Date_Use
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Lateral Raise (Dumbbell),,"",0,normal,7.5,10,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Lateral Raise (Dumbbell),,"",1,normal,10,10,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Lateral Raise (Dumbbell),,"",2,normal,10,10,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Lateral Raise (Dumbbell),,"",3,normal,10,10,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Lateral Raise (Dumbbell),,"",4,normal,10,10,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Bench Press (Dumbbell),,"",0,normal,20,10,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Bench Press (Dumbbell),,"",1,normal,30,8,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Bench Press (Dumbbell),,"",2,normal,30,8,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Bench Press (Dumbbell),,"",3,normal,30,8,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Shoulder Press (Dumbbell),,"",0,normal,10,10,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Shoulder Press (Dumbbell),,"",1,normal,10,10,,,,2023-09-25
Afternoon workout 💪,"25 Sep 2023, 16:26","25 Sep 2023, 16:54","",Shoulder Press (Dumbbell),,"",2,normal,10,10,,,,2023-09-25
