Date_Use,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,exercise_title,set_index,set_type,weight_kg,reps
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Lateral Raise (Dumbbell),0,normal,7.5,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Lateral Raise (Dumbbell),1,normal,10,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Lateral Raise (Dumbbell),2,normal,10,12
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Lateral Raise (Dumbbell),3,normal,12.5,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Lateral Raise (Dumbbell),4,normal,12.5,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Lateral Raise (Dumbbell),5,normal,12.5,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Shoulder Press (Dumbbell),0,normal,12.5,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Shoulder Press (Dumbbell),1,normal,12.5,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Shoulder Press (Dumbbell),2,normal,12.5,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Shoulder Press (Dumbbell),3,normal,12.5,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Plate Front Raise,0,normal,10,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Plate Front Raise,1,normal,10,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Plate Front Raise,2,normal,10,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Plate Front Raise,3,normal,10,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Shrug (Dumbbell),0,normal,20,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Shrug (Dumbbell),1,normal,20,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Shrug (Dumbbell),2,normal,20,10
2023-09-11,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,Shrug (Dumbbell),3,normal,20,10
