Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters),DateTime_Out
2023-09-28 22:25:37,,UTC+01:00,2023-09-29 08:10:30,2023-09-29 08:44:37,34,Running,7.2,223.0,173,122,7,75,3,8,0,false,,,,2023-09-29
2023-09-25 22:20:02,2023-09-26 22:24:52,UTC+01:00,2023-09-26 07:19:30,2023-09-26 07:49:29,29,Running,6.6,213.0,143,126,3,92,3,0,0,false,,,,2023-09-26
2023-09-24 22:38:33,2023-09-25 22:20:02,UTC+01:00,2023-09-25 16:21:03,2023-09-25 16:54:25,33,Weightlifting,4.1,43.0,124,84,20,0,0,0,0,false,,,,2023-09-25
2023-09-22 23:05:02,2023-09-23 23:35:40,UTC+01:00,2023-09-23 12:24:00,2023-09-23 14:32:59,128,Field Hockey,17.6,1440.0,192,146,6,15,47,27,5,false,,,,2023-09-23
2023-09-22 00:06:01,2023-09-22 23:05:02,UTC+01:00,2023-09-22 11:02:21,2023-09-22 11:47:21,45,Weightlifting,6.3,192.0,160,98,7,25,14,0,0,false,,,,2023-09-22
2023-09-20 22:11:48,2023-09-22 00:06:01,UTC+01:00,2023-09-21 13:28:21,2023-09-21 14:24:56,56,Running,16.9,877.0,188,169,0,0,5,80,15,false,,,,2023-09-21
2023-09-19 22:29:02,2023-09-20 22:11:48,UTC+01:00,2023-09-20 14:33:07,2023-09-20 15:08:48,35,Weightlifting,7.3,247.0,163,124,8,51,30,1,0,false,,,,2023-09-20
2023-09-18 22:43:54,2023-09-19 22:29:02,UTC+01:00,2023-09-19 07:53:39,2023-09-19 08:30:03,36,Weightlifting,4.7,79.0,136,98,55,9,0,0,0,false,,,,2023-09-19
2023-09-16 21:38:28,2023-09-17 21:41:52,UTC+01:00,2023-09-17 10:37:59,2023-09-17 13:16:42,158,Running,20.6,2510.0,193,170,0,0,4,62,34,false,,,,2023-09-17
2023-09-15 22:28:51,2023-09-16 21:38:28,UTC+01:00,2023-09-16 13:06:00,2023-09-16 15:35:59,149,Field Hockey,19.5,1772.0,202,150,6,21,24,32,17,false,,,,2023-09-16
2023-09-13 22:56:08,2023-09-14 23:27:53,UTC+01:00,2023-09-14 20:00:00,2023-09-14 21:57:59,117,Field Hockey,17.6,1247.0,185,140,5,22,26,36,10,false,,,,2023-09-14
2023-09-12 21:35:57,2023-09-13 22:56:08,UTC+01:00,2023-09-13 18:06:07,2023-09-13 19:01:02,54,Weightlifting,7.2,231.0,153,100,26,18,18,1,0,false,,,,2023-09-13
2023-09-12 21:35:57,2023-09-13 22:56:08,UTC+01:00,2023-09-13 07:33:46,2023-09-13 08:08:55,35,Running,10.9,355.0,168,136,3,18,51,27,0,true,963.14,18.64,-0.37,2023-09-13
2023-09-11 22:12:29,2023-09-12 21:35:57,UTC+01:00,2023-09-12 18:57:42,2023-09-12 19:27:59,30,Running,8.6,276.0,150,129,0,27,72,0,0,true,519.12,13.47,-0.91,2023-09-12
2023-09-11 22:12:29,2023-09-12 21:35:57,UTC+01:00,2023-09-12 06:41:07,2023-09-12 07:17:09,36,Weightlifting,6.7,180.0,149,102,17,20,26,0,0,false,,,,2023-09-12
2023-09-10 22:16:03,2023-09-11 22:12:29,UTC+01:00,2023-09-11 07:32:36,2023-09-11 08:05:26,32,Weightlifting,5.9,137.0,150,109,49,26,17,0,0,false,,,,2023-09-11
