ID,X co-ord,Y-cord,Radius,Rank
World,0,0,1,1
Europe,-0.189157304497062,0.772594960999436,0.196472448730632,2
South America,-0.519381114124392,-0.477479317471882,0.226500565190904,3
Africa,-0.525048299136324,0.494056471899423,0.2398834268914,4
North America,-0.71173292897894,0,0.28826707102106,5
Asia,0.28826707102106,0,0.71173292897894,6
Canada,-0.801557229850223,0.139911653326177,6.01779804166564e-02,7
Argentina,-0.621896508786271,-0.358271948985374,6.92752401183861e-02,8
Colombia,-0.671524063216861,-0.492291975117778,7.36382356748063e-02,9
United Kingdom,-0.20484950837731,0.882038365051823,8.59097789311316e-02,10
France,-0.28831164315669,0.729195644467008,8.82362091871685e-02,11
Egypt,-0.580752434109755,0.626652739069712,9.6061590160558e-02,12
Ethiopia,-0.661647721743819,0.45155094511949,9.68235720629376e-02,13
Germany,-0.101455479904669,0.729195644467008,9.86199540648519e-02,14
Mexico,-0.893022090623118,0,0.106977909376882,15
Nigeria,-0.429508882282128,0.45155094511949,0.135315267398754,16
Brazil,-0.44612447532084,-0.492291975117778,0.151761352221215,17
Indonesia,0.261062228912335,0.363185797132172,0.152735173410032,18
United States,-0.604755019602058,0,0.181289161644178,19
India,-7.87985238370978e-02,0,0.344667334120783,20
China,0.632934405141842,0,0.367065594858158,21
