Name,Club,Position,Age,Value
Ederson,Manchester City,Goalkeeper,30,€70.00m
André Onana,Manchester United,Goalkeeper,27,€45.00m
David Raya,Arsenal FC,Goalkeeper,28,€35.00m
Alisson,Liverpool FC,Goalkeeper,31,€90.00m
Robert Sánchez,Chelsea FC,Goalkeeper,26,€32.00m
Guglielmo Vicario,Tottenham Hotspur,Goalkeeper,27,€30.00m
Aaron Ramsdale,Arsenal FC,Goalkeeper,25,€40.00m
Emiliano Martínez,Aston Villa,Goalkeeper,31,€35.00m
Jordan Pickford,Everton FC,Goalkeeper,29,€40.00m
Nick Pope,Newcastle United,Goalkeeper,31,€20.00m
José Sá,Wolverhampton Wanderers,Goalkeeper,30,€18.00m
Bart Verbruggen,Brighton & Hove Albion,Goalkeeper,21,€15.00m
Caoimhín Kelleher,Liverpool FC,Goalkeeper,25,€15.00m
James Trafford,Burnley FC,Goalkeeper,21,€15.00m
Bernd Leno,Fulham FC,Goalkeeper,31,€35.00m
Mark Flekken,Brentford FC,Goalkeeper,30,€12.00m
Sam Johnstone,Crystal Palace,Goalkeeper,30,€12.00m
Dean Henderson,Crystal Palace,Goalkeeper,26,€22.00m
Altay Bayındır,Manchester United,Goalkeeper,25,€16.00m
Matt Turner,Nottingham Forest,Goalkeeper,29,€10.00m
Alphonse Areola,West Ham United,Goalkeeper,30,€17.50m
Odysseas Vlachodimos,Nottingham Forest,Goalkeeper,29,€18.00m
Stefan Ortega,Manchester City,Goalkeeper,31,€9.00m
Djordje Petrovic,Chelsea FC,Goalkeeper,24,€9.00m
Arijanet Muric,Burnley FC,Goalkeeper,25,€12.00m
Ederson,Manchester City,Goalkeeper,30,€70.00m
André Onana,Manchester United,Goalkeeper,27,€45.00m
David Raya,Arsenal FC,Goalkeeper,28,€35.00m
Alisson,Liverpool FC,Goalkeeper,31,€90.00m
Robert Sánchez,Chelsea FC,Goalkeeper,26,€32.00m
Guglielmo Vicario,Tottenham Hotspur,Goalkeeper,27,€30.00m
Aaron Ramsdale,Arsenal FC,Goalkeeper,25,€40.00m
Emiliano Martínez,Aston Villa,Goalkeeper,31,€35.00m
Jordan Pickford,Everton FC,Goalkeeper,29,€40.00m
Nick Pope,Newcastle United,Goalkeeper,31,€20.00m
José Sá,Wolverhampton Wanderers,Goalkeeper,30,€18.00m
Bart Verbruggen,Brighton & Hove Albion,Goalkeeper,21,€15.00m
Caoimhín Kelleher,Liverpool FC,Goalkeeper,25,€15.00m
James Trafford,Burnley FC,Goalkeeper,21,€15.00m
Bernd Leno,Fulham FC,Goalkeeper,31,€35.00m
Mark Flekken,Brentford FC,Goalkeeper,30,€12.00m
Sam Johnstone,Crystal Palace,Goalkeeper,30,€12.00m
Dean Henderson,Crystal Palace,Goalkeeper,26,€22.00m
Altay Bayındır,Manchester United,Goalkeeper,25,€16.00m
Matt Turner,Nottingham Forest,Goalkeeper,29,€10.00m
Alphonse Areola,West Ham United,Goalkeeper,30,€17.50m
Odysseas Vlachodimos,Nottingham Forest,Goalkeeper,29,€18.00m
Stefan Ortega,Manchester City,Goalkeeper,31,€9.00m
Djordje Petrovic,Chelsea FC,Goalkeeper,24,€9.00m
Arijanet Muric,Burnley FC,Goalkeeper,25,€12.00m
Ederson,Manchester City,Goalkeeper,30,€70.00m
André Onana,Manchester United,Goalkeeper,27,€45.00m
David Raya,Arsenal FC,Goalkeeper,28,€35.00m
Alisson,Liverpool FC,Goalkeeper,31,€90.00m
Robert Sánchez,Chelsea FC,Goalkeeper,26,€32.00m
Guglielmo Vicario,Tottenham Hotspur,Goalkeeper,27,€30.00m
Aaron Ramsdale,Arsenal FC,Goalkeeper,25,€40.00m
Emiliano Martínez,Aston Villa,Goalkeeper,31,€35.00m
Jordan Pickford,Everton FC,Goalkeeper,29,€40.00m
Nick Pope,Newcastle United,Goalkeeper,31,€20.00m
José Sá,Wolverhampton Wanderers,Goalkeeper,30,€18.00m
Bart Verbruggen,Brighton & Hove Albion,Goalkeeper,21,€15.00m
Caoimhín Kelleher,Liverpool FC,Goalkeeper,25,€15.00m
James Trafford,Burnley FC,Goalkeeper,21,€15.00m
Bernd Leno,Fulham FC,Goalkeeper,31,€35.00m
Mark Flekken,Brentford FC,Goalkeeper,30,€12.00m
Sam Johnstone,Crystal Palace,Goalkeeper,30,€12.00m
Dean Henderson,Crystal Palace,Goalkeeper,26,€22.00m
Altay Bayındır,Manchester United,Goalkeeper,25,€16.00m
Matt Turner,Nottingham Forest,Goalkeeper,29,€10.00m
Alphonse Areola,West Ham United,Goalkeeper,30,€17.50m
Odysseas Vlachodimos,Nottingham Forest,Goalkeeper,29,€18.00m
Stefan Ortega,Manchester City,Goalkeeper,31,€9.00m
Djordje Petrovic,Chelsea FC,Goalkeeper,24,€9.00m
Arijanet Muric,Burnley FC,Goalkeeper,25,€12.00m
