Name,Club,Position,Age,Value
Erling Haaland,Manchester City,Centre-Forward,23,€180.00m
Bukayo Saka,Arsenal FC,Right Winger,22,€120.00m
Declan Rice,Arsenal FC,Defensive Midfield,24,€110.00m
Rodri,Manchester City,Defensive Midfield,27,€110.00m
Phil Foden,Manchester City,Right Winger,23,€110.00m
Julián Álvarez,Manchester City,Second Striker,23,€90.00m
Martin Ødegaard,Arsenal FC,Attacking Midfield,25,€90.00m
Moisés Caicedo,Chelsea FC,Defensive Midfield,22,€90.00m
Bruno Guimarães,Newcastle United,Defensive Midfield,26,€85.00m
Gabriel Martinelli,Arsenal FC,Left Winger,22,€85.00m
Enzo Fernández,Chelsea FC,Central Midfield,22,€85.00m
Bernardo Silva,Manchester City,Attacking Midfield,29,€100.00m
Rúben Dias,Manchester City,Centre-Back,26,€80.00m
Josko Gvardiol,Manchester City,Centre-Back,21,€80.00m
Christopher Nkunku,Chelsea FC,Attacking Midfield,26,€80.00m
Dominik Szoboszlai,Liverpool FC,Central Midfield,23,€75.00m
William Saliba,Arsenal FC,Centre-Back,22,€75.00m
Luis Díaz,Liverpool FC,Left Winger,26,€75.00m
Trent Alexander-Arnold,Liverpool FC,Right-Back,25,€110.00m
Gabriel Jesus,Arsenal FC,Centre-Forward,26,€80.00m
Bruno Fernandes,Manchester United,Attacking Midfield,29,€90.00m
Alexander Isak,Newcastle United,Centre-Forward,24,€70.00m
Marcus Rashford,Manchester United,Left Winger,26,€85.00m
James Maddison,Tottenham Hotspur,Attacking Midfield,27,€70.00m
Jack Grealish,Manchester City,Left Winger,28,€100.00m
Lucas Paquetá,West Ham United,Attacking Midfield,26,€65.00m
Evan Ferguson,Brighton & Hove Albion,Centre-Forward,19,€65.00m
Cristian Romero,Tottenham Hotspur,Centre-Back,25,€65.00m
Mohamed Salah,Liverpool FC,Right Winger,31,€150.00m
Rasmus Højlund,Manchester United,Centre-Forward,20,€65.00m
Alexis Mac Allister,Liverpool FC,Central Midfield,24,€65.00m
Jérémy Doku,Manchester City,Left Winger,21,€65.00m
Darwin Núñez,Liverpool FC,Centre-Forward,24,€70.00m
Gabriel Magalhães,Arsenal FC,Centre-Back,26,€60.00m
