Server	Sets	Games	Points	Commentary
Andy Roddick	0‑0	0‑0	0‑0	1st serve down the T,  service winner.
Andy Roddick	0‑0	0‑0	15‑0	1st serve to body; backhand slice return down the middle; backhand half-volley crosscourt; backhand down the line; forehand volley down the line,  forced error. (4-shot rally)
Andy Roddick	0‑0	0‑0	15‑15	1st serve down the T,  ace.
Andy Roddick	0‑0	0‑0	30‑15	1st serve down the T,  service winner.
Andy Roddick	0‑0	0‑0	40‑15	1st serve down the T,  ace.
				
Roger Federer	0‑0	0‑1	0‑0	1st serve wide,  fault (wide). 2nd serve to body; backhand return inside-in; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand down the middle; forehand inside-out (net),  unforced error. (8-shot rally)
Roger Federer	0‑0	0‑1	0‑15	1st serve wide,  ace.
Roger Federer	0‑0	0‑1	15‑15	1st serve down the T,  ace.
Roger Federer	0‑0	0‑1	30‑15	1st serve down the T,  fault (long). 2nd serve down the T; backhand return crosscourt; forehand inside-out; backhand crosscourt,  forced error.
Roger Federer	0‑0	0‑1	40‑15	1st serve wide,  service winner.
				
Andy Roddick	0‑0	1‑1	0‑0	1st serve to body; backhand slice return down the middle; backhand slice down the middle; forehand crosscourt,  forced error.
Andy Roddick	0‑0	1‑1	15‑0	1st serve down the T,  fault (net). 2nd serve to body; forehand return inside-out; backhand down the middle; forehand inside-out; backhand down the line,  winner. (5-shot rally)
Andy Roddick	0‑0	1‑1	30‑0	1st serve down the T; backhand slice return down the middle,  forced error.
Andy Roddick	0‑0	1‑1	40‑0	1st serve down the T; forehand return down the middle,  forced error.
				
Roger Federer	0‑0	1‑2	0‑0	1st serve down the T; backhand return down the middle; forehand inside-out; backhand crosscourt,  forced error.
Roger Federer	0‑0	1‑2	15‑0	1st serve down the T,  ace.
Roger Federer	0‑0	1‑2	30‑0	1st serve wide,  ace.
Roger Federer	0‑0	1‑2	40‑0	1st serve down the T; forehand chip/slice return down the middle; forehand swinging volley crosscourt; forehand down the middle,  forced error.
				
Andy Roddick	0‑0	2‑2	0‑0	1st serve down the T,  ace.
Andy Roddick	0‑0	2‑2	15‑0	1st serve wide,  fault (net). 2nd serve to body; forehand return down the middle; forehand inside-out; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand inside-out; backhand down the line; forehand crosscourt; forehand crosscourt (wide and long),  unforced error. (10-shot rally)
Andy Roddick	0‑0	2‑2	15‑15	1st serve down the T; backhand slice return down the middle; forehand crosscourt; forehand down the middle; forehand inside-out; forehand inside-in; forehand crosscourt,  winner. (7-shot rally)
Andy Roddick	0‑0	2‑2	30‑15	1st serve down the T; forehand chip/slice return down the middle; forehand crosscourt; forehand crosscourt (net),  unforced error.
Andy Roddick	0‑0	2‑2	40‑15	1st serve down the T,  fault (net). 2nd serve to body; forehand return down the middle; forehand inside-out; backhand crosscourt; backhand volley down the line (long),  unforced error. (4-shot rally)
Andy Roddick	0‑0	2‑2	40‑30	1st serve down the T; forehand return inside-out; backhand slice down the middle; forehand inside-out; backhand down the line,  winner. (5-shot rally)
				
Roger Federer	0‑0	2‑3	0‑0	1st serve down the T; backhand return down the middle; forehand down the middle; backhand inside-out; forehand down the line; backhand crosscourt,  winner. (6-shot rally)
Roger Federer	0‑0	2‑3	0‑15	1st serve down the T; forehand return crosscourt,  forced error.
Roger Federer	0‑0	2‑3	15‑15	1st serve down the T,  ace.
Roger Federer	0‑0	2‑3	30‑15	1st serve wide,  fault (long). 2nd serve to body; backhand return down the middle (long),  unforced error.
Roger Federer	0‑0	2‑3	40‑15	1st serve down the T,  fault (net). 2nd serve to body; backhand return inside-in; backhand crosscourt; backhand crosscourt,  forced error.
				
Andy Roddick	0‑0	3‑3	0‑0	1st serve wide,  fault (net). 2nd serve to body; backhand slice return down the middle; forehand inside-out; backhand slice crosscourt; backhand slice down the line; forehand down the line; backhand volley crosscourt; backhand half-volley down the line,  winner. (8-shot rally)
Andy Roddick	0‑0	3‑3	0‑15	1st serve down the T; forehand return down the middle; forehand inside-out; backhand slice crosscourt; forehand inside-out; backhand slice down the middle (net),  unforced error. (5-shot rally)
Andy Roddick	0‑0	3‑3	15‑15	1st serve down the T; backhand slice return down the middle; forehand down the middle; forehand crosscourt; forehand down the middle; forehand crosscourt; forehand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line (net),  unforced error. (9-shot rally)
Andy Roddick	0‑0	3‑3	30‑15	1st serve wide; backhand slice return crosscourt,  forced error.
Andy Roddick	0‑0	3‑3	40‑15	1st serve wide; forehand return down the line,  forced error.
				
Roger Federer	0‑0	3‑4	0‑0	1st serve wide; forehand chip/slice return down the middle,  forced error.
Roger Federer	0‑0	3‑4	15‑0	1st serve wide; backhand return down the middle; forehand down the middle; forehand down the middle; forehand volley inside-out,  winner. (5-shot rally)
Roger Federer	0‑0	3‑4	30‑0	1st serve wide,  fault (long). 2nd serve wide; forehand chip/slice return crosscourt; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the line; backhand slice crosscourt; backhand slice crosscourt; forehand inside-in; forehand chip/slice crosscourt,  forced error. (9-shot rally)
Roger Federer	0‑0	3‑4	40‑0	1st serve wide,  fault (net). 2nd serve wide,  fault (long),  double fault.
Roger Federer	0‑0	3‑4	40‑15	1st serve down the T,  ace.
				
Andy Roddick	0‑0	4‑4	0‑0	1st serve down the T,  ace.
Andy Roddick	0‑0	4‑4	15‑0	1st serve wide; backhand slice return down the middle; forehand crosscourt; forehand lob,  forced error.
Andy Roddick	0‑0	4‑4	30‑0	1st serve down the T,  ace.
Andy Roddick	0‑0	4‑4	40‑0	1st serve to body,  service winner.
				
Roger Federer	0‑0	4‑5	0‑0	1st serve down the T; backhand return inside-out; forehand down the line; backhand down the line; forehand down the line; backhand down the middle; forehand down the middle; backhand crosscourt; backhand slice crosscourt; forehand inside-out; backhand slice crosscourt; backhand down the line (wide),  unforced error. (11-shot rally)
Roger Federer	0‑0	4‑5	15‑0	1st serve wide; backhand return down the middle; forehand drop shot crosscourt,  winner.
Roger Federer	0‑0	4‑5	30‑0	1st serve to body; forehand return down the middle; forehand crosscourt; forehand lob down the line; smash down the middle,  winner. (5-shot rally)
Roger Federer	0‑0	4‑5	40‑0	1st serve down the T; forehand return crosscourt,  forced error.
				
Andy Roddick	0‑0	5‑5	0‑0	1st serve wide; forehand return down the line; backhand down the middle (net),  unforced error.
Andy Roddick	0‑0	5‑5	0‑15	1st serve down the T,  fault (net). 2nd serve wide; backhand slice return down the middle; forehand crosscourt (long),  unforced error.
Andy Roddick	0‑0	5‑5	0‑30	1st serve to body,  service winner.
Andy Roddick	0‑0	5‑5	15‑30	1st serve down the T,  service winner.
