PlayerID,player,age,team,comp_level,minutes_90s,birth_year,position,blocked_passes,blocked_shots,blocks,challenge_tackles,challenge_tackles_pct,challenges,challenges_lost,clearances,errors,interceptions,tackles,tackles_att_3rd,tackles_def_3rd,tackles_interceptions,tackles_mid_3rd,tackles_won
00242715,Moussa Niakhate,27,"Nott'ham Forest",Premier League,16.2,1996,DF,7,12,19,20,80.0,25,5,51,0,14,42,0,33,56,9,25
00242b75,Leandro Barreiro Martins,23,Mainz 05,Bundesliga,29.0,2000,MF,29,16,45,30,60.0,50,20,53,0,36,65,9,19,101,37,40
003cf4d1,Jayden Danns,17,Liverpool,Premier League,0.1,2006,FW,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
00459419,Marko Arnautovic,34,Inter,Serie A,8.9,1989,FW,7,1,8,4,57.1,7,3,5,0,5,10,2,3,15,5,4
0076ab7f,Nemanja Gudelj,31,Sevilla,La Liga,19.4,1991,"DF,MF",8,9,17,17,54.8,31,14,56,0,27,31,3,18,58,10,24
00953a9d,Mikey Moore,15,Tottenham,Premier League,0.0,2007,MF,0,0,0,0,"",0,0,1,0,0,0,0,0,0,0,0
00963611,Konstantinos Mavropanos,25,West Ham,Premier League,16.7,1997,DF,8,13,21,17,81.0,21,4,79,3,23,28,2,17,51,9,16
009a4f60,Julian Ryerson,25,Dortmund,Bundesliga,19.6,1997,DF,24,7,31,27,57.4,47,20,35,3,10,41,4,26,51,11,23
00a8d210,Przemyslaw Frankowski,28,Lens,Ligue 1,24.4,1995,DF,23,7,30,31,41.9,74,43,36,0,25,60,9,25,85,26,39
00b28772,Nemanja Maksimovic,28,Getafe,La Liga,36.3,1995,MF,33,23,56,23,56.1,41,18,61,0,46,65,8,26,111,31,43
00b77ecf,Nathan Fraser,18,Wolves,Premier League,2.1,2005,FW,1,1,2,1,33.3,3,2,2,0,1,5,2,2,6,1,2
00c9a283,Hugo Larsson,19,Eint Frankfurt,Bundesliga,21.0,2004,MF,27,7,34,15,53.6,28,13,30,1,29,32,4,18,61,10,18
00e36323,Florian Pick,27,Heidenheim,Bundesliga,3.6,1995,"MF,FW",2,0,2,2,66.7,3,1,2,0,2,4,1,3,6,0,4
00eba9c9,Selim Amallah,26,Valencia,La Liga,6.7,1996,"FW,MF",13,0,13,3,33.3,9,6,6,0,11,17,3,7,28,7,12
00f518d8,Faride Alidou,22,Köln,Bundesliga,14.2,2001,"FW,MF",21,2,23,4,22.2,18,14,15,1,8,10,1,3,18,6,4
0118c54c,Anthony Caci,26,Mainz 05,Bundesliga,27.6,1997,DF,36,7,43,27,61.4,44,17,45,0,32,56,1,30,88,25,23
011b2a32,Trevis Dago,18,Lille,Ligue 1,0.3,2005,"FW,MF",0,0,0,0,"",0,0,0,0,1,0,0,0,1,0,0
0127419a,Ianis Hagi,24,Alavés,La Liga,8.9,1998,"MF,FW",8,0,8,5,41.7,12,7,4,0,5,17,1,2,22,14,12
016ff750,Valentino Lazaro,27,Torino,Serie A,22.2,1996,"DF,MF",13,1,14,13,68.4,19,6,29,0,8,18,2,7,26,9,11
017018d1,Fabian Holland,33,Darmstadt 98,Bundesliga,20.4,1990,"MF,DF",10,12,22,20,54.1,37,17,29,0,24,47,8,18,71,21,26
0174ba21,Robin Hack,24,Gladbach,Bundesliga,15.0,1998,"FW,MF",16,0,16,4,23.5,17,13,21,0,14,15,2,6,29,7,8
01834aa0,Sebastiaan Bornauw,24,Wolfsburg,Bundesliga,15.9,1999,DF,9,12,21,13,68.4,19,6,81,0,18,26,0,19,44,7,12
01870104,Mohamed Lamine Bayo,25,Le Havre,Ligue 1,15.4,1998,FW,7,1,8,2,20.0,10,8,11,0,2,13,6,2,15,5,5
01bb93d5,Nicolas Paz,18,Real Madrid,La Liga,0.3,2004,"MF,FW",2,0,2,0,"",0,0,0,0,1,0,0,0,1,0,0
01becd60,Alan Virginius,20,Clermont Foot,Ligue 1,10.4,2003,FW,7,0,7,4,36.4,11,7,7,0,3,9,1,4,12,4,5
01c3aff5,Weston McKennie,24,Juventus,Serie A,28.8,1998,"MF,DF",21,7,28,17,63.0,27,10,69,0,18,48,6,31,66,11,29
01ce9e70,Kieffer Moore,30,Bournemouth,Premier League,1.2,1992,"FW,MF",0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
01da7812,Myrto Uzuni,28,Granada,La Liga,27.2,1995,FW,16,3,19,6,22.2,27,21,7,0,4,18,3,8,22,7,14
01e5f06e,Sergio Gomez,22,Manchester City,Premier League,0.6,2000,"FW,MF",0,0,0,1,50.0,2,1,0,0,1,1,0,0,2,1,0
01eb744d,Angel Correa,28,Atlético Madrid,La Liga,17.0,1995,"FW,MF",13,0,13,5,29.4,17,12,6,0,2,22,8,3,24,11,15
01efac19,Antonin Barak,28,Fiorentina,Serie A,9.0,1994,"MF,FW",5,0,5,3,42.9,7,4,4,0,2,6,2,1,8,3,2
01fd01e8,Souleymane Toure,20,Lorient,Ligue 1,22.8,2003,DF,18,20,38,8,57.1,14,6,101,2,36,25,0,16,61,9,12
02319ad7,Jaime Mata,34,Getafe,La Liga,19.9,1988,"FW,MF",17,1,18,11,42.3,26,15,31,0,17,24,4,12,41,8,15
028e70b9,Joshua Zirkzee,22,Bologna,Serie A,30.7,2001,FW,23,2,25,13,54.2,24,11,36,0,3,32,9,8,35,15,20
02b29014,Abdoulaye Doucoure,30,Everton,Premier League,29.2,1993,"FW,MF",20,3,23,18,39.1,46,28,19,0,15,43,9,20,58,14,27
02b3733e,Lucas Mincarelli,19,Montpellier,Ligue 1,10.9,2004,"DF,MF",13,4,17,17,50.0,34,17,27,0,8,29,4,19,37,6,16
02bcaf8e,Bilal Brahimi,23,Brest,Ligue 1,2.5,2000,"FW,MF",3,0,3,0,0.0,3,3,0,0,0,0,0,0,0,0,0
02c15616,Marcos Llorente,28,Atlético Madrid,La Liga,28.5,1995,"MF,DF",25,11,36,16,36.4,44,28,35,0,14,40,5,18,54,17,23
02caf6e0,Manuel Lazzari,29,Lazio,Serie A,18.6,1993,DF,16,4,20,18,64.3,28,10,37,1,12,26,3,13,38,10,18
02d2c436,Luis Hernandez,34,Cádiz,La Liga,8.0,1989,DF,1,2,3,4,50.0,8,4,25,0,8,7,0,4,15,3,3
02ef8778,Raul de Tomas,28,Rayo Vallecano,La Liga,14.1,1994,FW,3,0,3,3,50.0,6,3,8,0,1,9,2,4,10,3,5
0302f7b4,Jastin Garcia,19,Girona,La Liga,0.4,2004,FW,0,0,0,0,"",0,0,1,0,0,1,1,0,1,0,0
0313a347,Ezri Konsa,25,Aston Villa,Premier League,34.1,1997,DF,16,20,36,23,85.2,27,4,73,3,28,54,3,28,82,23,32
032f894e,Renato Sanches,25,Roma,Serie A,1.6,1997,MF,2,0,2,2,66.7,3,1,1,0,0,2,0,1,2,1,1
036bba5f,Ruben Alcaraz,32,Cádiz,La Liga,34.8,1991,MF,46,14,60,50,41.3,121,71,55,2,33,97,6,39,130,52,59
0375723e,Simone Verdi,31,Torino,Serie A,0.0,1992,FW,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
039f01a9,Nuha Jatta,17,RB Leipzig,Bundesliga,0.0,2006,FW,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
039f1983,Joseph Okumu,26,Reims,Ligue 1,19.4,1997,DF,8,19,27,24,63.2,38,14,112,2,35,44,2,28,79,14,28
03edb878,Daniel Jebbison,19,Sheffield Utd,Premier League,0.2,2003,FW,1,0,1,0,"",0,0,0,0,0,0,0,0,0,0,0
03f946ed,Andrea Petagna,28,Cagliari,Serie A,11.1,1995,FW,3,3,6,1,50.0,2,1,4,0,1,4,3,1,5,0,2
0400dd2f,Badredine Bouanani,18,Lorient,Ligue 1,4.9,2004,MF,3,0,3,2,50.0,4,2,3,0,2,4,2,1,6,1,2
0420d84f,Seamus Coleman,34,Everton,Premier League,7.4,1988,DF,8,4,12,11,68.8,16,5,26,1,7,17,4,10,24,3,14
042e8a49,Kingsley Coman,27,Bayern Munich,Bundesliga,12.4,1996,FW,14,1,15,9,52.9,17,8,5,0,2,12,4,5,14,3,7
0442183b,Nathaniel Clyne,32,Crystal Palace,Premier League,14.9,1991,DF,12,6,18,14,66.7,21,7,33,0,10,24,2,11,34,11,15
047759a0,Ibrahima Kebe,22,Girona,La Liga,0.1,2000,MF,1,0,1,0,"",0,0,0,0,1,1,0,0,2,1,1
0480ebc7,Elijah Adebayo,25,Luton Town,Premier League,15.8,1998,FW,11,2,13,1,8.3,12,11,25,0,6,4,3,1,10,0,1
048a1cbc,Raphael Guerreiro,29,Bayern Munich,Bundesliga,13.2,1993,"DF,MF",6,1,7,9,60.0,15,6,5,1,15,19,4,6,34,9,16
049751d7,Andras Schafer,24,Union Berlin,Bundesliga,13.5,1999,MF,21,4,25,11,55.0,20,9,25,0,20,29,5,9,49,15,16
049a888d,Mykhailo Mudryk,22,Chelsea,Premier League,17.5,2001,FW,13,1,14,10,31.3,32,22,9,0,9,21,5,9,30,7,12
04ac78d2,Bamo Meite,21,Lorient,Ligue 1,1.6,2001,DF,1,2,3,0,0.0,1,1,9,0,3,2,0,2,5,0,1
04bb2b06,Ibrahima Kone,24,Lorient,Ligue 1,0.4,1999,FW,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0
04c4edc1,Gennaro Borrelli,23,Frosinone,Serie A,0.3,2000,FW,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
04df29a5,Lorenzo Colombo,21,Monza,Serie A,15.1,2002,FW,13,5,18,8,57.1,14,6,14,0,0,17,5,3,17,9,12
04e17fd5,Youssef En-Nesyri,26,Sevilla,La Liga,28.6,1997,FW,8,1,9,0,0.0,10,10,29,1,7,10,3,3,17,4,7
