PlayerID,player,age,team,comp_level,minutes,minutes_90s,assists,assists_per90,birth_year,cards_red,cards_yellow,games,games_starts,goals,goals_assists,goals_assists_pens_per90,goals_assists_per90,goals_pens,goals_pens_per90,goals_per90,npxg,npxg_per90,npxg_xg_assist,npxg_xg_assist_per90,pens_att,pens_made,position,progressive_carries,progressive_passes,progressive_passes_received,xg,xg_assist,xg_assist_per90,xg_per90,xg_xg_assist_per90
00242715,Moussa Niakhate,27,"Nott'ham Forest",Premier League,1,16.2,0,0.00,1996,1,5,21,15,1,1,0.06,0.06,1,0.06,0.06,1.1,0.07,1.2,0.08,0,0,DF,13,39,6,1.1,0.1,0.01,0.07,0.08
00242b75,Leandro Barreiro Martins,23,Mainz 05,Bundesliga,2,29.0,1,0.03,2000,0,8,31,29,4,5,0.17,0.17,4,0.14,0.14,4.5,0.16,5.6,0.19,0,0,MF,22,93,46,4.5,1.1,0.04,0.16,0.19
003cf4d1,Jayden Danns,17,Liverpool,Premier League,9,0.1,0,0.00,2006,0,1,2,0,0,0,0.00,0.00,0,0.00,0.00,0.0,0.00,0.0,0.00,0,0,FW,0,1,2,0.0,0.0,0.00,0.00,0.00
00459419,Marko Arnautovic,34,Inter,Serie A,801,8.9,3,0.34,1989,0,0,27,5,5,8,0.90,0.90,5,0.56,0.56,5.0,0.56,7.6,0.85,0,0,FW,12,20,77,5.0,2.6,0.29,0.56,0.85
0076ab7f,Nemanja Gudelj,31,Sevilla,La Liga,1,19.4,1,0.05,1991,0,7,22,20,1,2,0.10,0.10,1,0.05,0.05,0.8,0.04,1.2,0.06,0,0,"DF,MF",23,73,5,0.8,0.4,0.02,0.04,0.06
00953a9d,Mikey Moore,15,Tottenham,Premier League,4,0.0,0,0.00,2007,0,0,2,0,0,0,0.00,0.00,0,0.00,0.00,0.0,0.00,0.0,0.00,0,0,MF,2,1,2,0.0,0.0,0.00,0.00,0.00
00963611,Konstantinos Mavropanos,25,West Ham,Premier League,1,16.7,0,0.00,1997,0,2,19,16,1,1,0.06,0.06,1,0.06,0.06,1.2,0.07,1.4,0.08,0,0,DF,10,38,2,1.2,0.2,0.01,0.07,0.08
009a4f60,Julian Ryerson,25,Dortmund,Bundesliga,1,19.6,1,0.05,1997,0,3,21,20,4,5,0.25,0.25,4,0.20,0.20,1.8,0.09,4.5,0.23,0,0,DF,41,64,118,1.8,2.7,0.14,0.09,0.23
00a8d210,Przemyslaw Frankowski,28,Lens,Ligue 1,2,24.4,2,0.08,1995,0,4,30,24,3,5,0.16,0.21,2,0.08,0.12,2.1,0.09,5.9,0.24,2,1,DF,56,112,210,3.7,3.8,0.16,0.15,0.31
00b28772,Nemanja Maksimovic,28,Getafe,La Liga,3,36.3,0,0.00,1995,0,4,37,37,4,4,0.11,0.11,4,0.11,0.11,5.5,0.15,6.6,0.18,0,0,MF,22,73,35,5.5,1.1,0.03,0.15,0.18
00b77ecf,Nathan Fraser,18,Wolves,Premier League,186,2.1,0,0.00,2005,0,1,7,1,0,0,0.00,0.00,0,0.00,0.00,0.3,0.16,0.4,0.19,0,0,FW,1,2,21,0.3,0.1,0.04,0.16,0.19
00c9a283,Hugo Larsson,19,Eint Frankfurt,Bundesliga,1,21.0,1,0.05,2004,0,1,29,21,2,3,0.14,0.14,2,0.10,0.10,1.3,0.06,2.7,0.13,0,0,MF,26,68,42,1.3,1.4,0.07,0.06,0.13
00e36323,Florian Pick,27,Heidenheim,Bundesliga,327,3.6,1,0.28,1995,0,2,22,1,0,1,0.28,0.28,0,0.00,0.00,0.3,0.08,1.1,0.29,0,0,"MF,FW",12,12,34,0.3,0.8,0.21,0.08,0.29
00eba9c9,Selim Amallah,26,Valencia,La Liga,604,6.7,1,0.15,1996,1,5,20,7,0,1,0.15,0.15,0,0.00,0.00,0.4,0.06,0.8,0.11,0,0,"FW,MF",7,21,36,0.4,0.3,0.05,0.06,0.11
00f518d8,Faride Alidou,22,Köln,Bundesliga,1,14.2,0,0.00,2001,0,4,26,14,4,4,0.28,0.28,4,0.28,0.28,3.0,0.21,3.6,0.26,0,0,"FW,MF",51,33,95,3.0,0.6,0.04,0.21,0.26
0118c54c,Anthony Caci,26,Mainz 05,Bundesliga,2,27.6,3,0.11,1997,0,8,31,29,2,5,0.18,0.18,2,0.07,0.07,1.5,0.06,4.4,0.16,0,0,DF,43,144,75,1.5,2.9,0.10,0.06,0.16
011b2a32,Trevis Dago,18,Lille,Ligue 1,23,0.3,1,3.91,2005,0,1,4,0,0,1,3.91,3.91,0,0.00,0.00,0.0,0.16,0.5,1.78,0,0,"FW,MF",1,0,1,0.0,0.4,1.63,0.16,1.78
0127419a,Ianis Hagi,24,Alavés,La Liga,804,8.9,2,0.22,1998,0,3,22,8,0,2,0.22,0.22,0,0.00,0.00,2.0,0.22,4.0,0.44,1,0,"MF,FW",17,32,58,2.8,2.0,0.22,0.31,0.53
016ff750,Valentino Lazaro,27,Torino,Serie A,1,22.2,4,0.18,1996,0,3,35,21,0,4,0.18,0.18,0,0.00,0.00,1.7,0.08,4.7,0.21,0,0,"DF,MF",53,94,106,1.7,2.9,0.13,0.08,0.21
017018d1,Fabian Holland,33,Darmstadt 98,Bundesliga,1,20.4,2,0.10,1990,1,4,23,23,0,2,0.10,0.10,0,0.00,0.00,0.6,0.03,2.1,0.10,0,0,"MF,DF",11,87,47,0.6,1.5,0.07,0.03,0.10
0174ba21,Robin Hack,24,Gladbach,Bundesliga,1,15.0,2,0.13,1998,0,2,29,14,10,12,0.80,0.80,10,0.67,0.67,3.9,0.26,6.3,0.42,0,0,"FW,MF",50,46,103,3.9,2.3,0.16,0.26,0.42
01834aa0,Sebastiaan Bornauw,24,Wolfsburg,Bundesliga,1,15.9,0,0.00,1999,0,5,20,16,0,0,0.00,0.00,0,0.00,0.00,0.8,0.05,1.2,0.07,0,0,DF,2,41,2,0.8,0.4,0.03,0.05,0.07
01870104,Mohamed Lamine Bayo,25,Le Havre,Ligue 1,1,15.4,1,0.06,1998,0,4,22,16,5,6,0.26,0.39,3,0.19,0.32,5.7,0.37,6.2,0.40,2,2,FW,18,20,115,7.2,0.6,0.04,0.47,0.51
01bb93d5,Nicolas Paz,18,Real Madrid,La Liga,23,0.3,0,0.00,2004,0,0,4,0,0,0,0.00,0.00,0,0.00,0.00,0.1,0.31,0.1,0.31,0,0,"MF,FW",3,6,2,0.1,0.0,0.00,0.31,0.31
01becd60,Alan Virginius,20,Clermont Foot,Ligue 1,934,10.4,2,0.19,2003,0,0,14,12,0,2,0.19,0.19,0,0.00,0.00,1.3,0.13,2.8,0.27,0,0,FW,22,21,64,1.3,1.5,0.15,0.13,0.27
01c3aff5,Weston McKennie,24,Juventus,Serie A,2,28.8,7,0.24,1998,0,6,34,29,0,7,0.24,0.24,0,0.00,0.00,3.0,0.10,6.9,0.24,0,0,"MF,DF",64,92,176,3.0,3.9,0.13,0.10,0.24
01ce9e70,Kieffer Moore,30,Bournemouth,Premier League,108,1.2,0,0.00,1992,0,0,8,0,1,1,0.83,0.83,1,0.83,0.83,1.5,1.23,1.7,1.44,0,0,"FW,MF",2,4,15,1.5,0.2,0.20,1.23,1.44
01da7812,Myrto Uzuni,28,Granada,La Liga,2,27.2,1,0.04,1995,0,3,34,28,11,12,0.29,0.44,7,0.26,0.40,9.0,0.33,11.6,0.43,5,4,FW,21,18,90,12.9,2.6,0.09,0.48,0.57
01e5f06e,Sergio Gomez,22,Manchester City,Premier League,53,0.6,1,1.70,2000,0,0,6,0,0,1,1.70,1.70,0,0.00,0.00,0.2,0.41,0.4,0.73,0,0,"FW,MF",4,2,4,0.2,0.2,0.31,0.41,0.73
01eb744d,Angel Correa,28,Atlético Madrid,La Liga,1,17.0,2,0.12,1995,0,3,32,14,9,11,0.59,0.65,8,0.47,0.53,7.1,0.42,10.8,0.63,1,1,"FW,MF",40,61,128,7.9,3.6,0.21,0.47,0.68
01efac19,Antonin Barak,28,Fiorentina,Serie A,808,9.0,3,0.33,1994,0,2,21,8,2,5,0.56,0.56,2,0.22,0.22,1.5,0.17,3.8,0.42,0,0,"MF,FW",17,33,64,1.5,2.2,0.25,0.17,0.42
