PlayerID,player,age,team,comp_level,minutes_90s,birth_year,cards_red,cards_yellow,position,aerials_lost,aerials_won,aerials_won_pct,ball_recoveries,cards_yellow_red,crosses,fouled,fouls,interceptions,offsides,own_goals,pens_conceded,pens_won,tackles_won
00242715,Moussa Niakhate,27,"Nott'ham Forest",Premier League,16.2,1996,1,5,DF,5,15,75.0,98,1,11,4,11,14,0,0,0,0,25
00242b75,Leandro Barreiro Martins,23,Mainz 05,Bundesliga,29.0,2000,0,8,MF,63,39,38.2,144,0,5,52,58,36,3,0,0,0,40
003cf4d1,Jayden Danns,17,Liverpool,Premier League,0.1,2006,0,1,FW,2,0,0.0,1,0,0,0,2,0,0,0,0,0,0
00459419,Marko Arnautovic,34,Inter,Serie A,8.9,1989,0,0,FW,7,4,36.4,17,0,7,15,11,5,8,0,0,0,4
0076ab7f,Nemanja Gudelj,31,Sevilla,La Liga,19.4,1991,0,7,"DF,MF",21,41,66.1,85,0,3,11,30,27,0,0,0,0,24
00953a9d,Mikey Moore,15,Tottenham,Premier League,0.0,2007,0,0,MF,0,0,"",0,0,0,0,1,0,0,0,0,0,0
00963611,Konstantinos Mavropanos,25,West Ham,Premier League,16.7,1997,0,2,DF,23,44,65.7,70,0,1,10,15,23,0,2,0,0,16
009a4f60,Julian Ryerson,25,Dortmund,Bundesliga,19.6,1997,0,3,DF,12,8,40.0,121,0,40,25,18,10,0,0,0,0,23
00a8d210,Przemyslaw Frankowski,28,Lens,Ligue 1,24.4,1995,0,4,DF,26,17,39.5,96,0,118,12,33,25,0,0,0,0,39
00b28772,Nemanja Maksimovic,28,Getafe,La Liga,36.3,1995,0,4,MF,61,70,53.4,140,0,5,13,20,46,1,0,1,0,43
00b77ecf,Nathan Fraser,18,Wolves,Premier League,2.1,2005,0,1,FW,9,3,25.0,8,0,0,3,5,1,0,0,0,0,2
00c9a283,Hugo Larsson,19,Eint Frankfurt,Bundesliga,21.0,2004,0,1,MF,19,9,32.1,116,0,8,2,16,29,1,0,0,0,18
00e36323,Florian Pick,27,Heidenheim,Bundesliga,3.6,1995,0,2,"MF,FW",5,5,50.0,29,0,32,7,6,2,1,0,0,0,4
00eba9c9,Selim Amallah,26,Valencia,La Liga,6.7,1996,1,5,"FW,MF",15,11,42.3,36,1,4,24,21,11,1,0,0,0,12
00f518d8,Faride Alidou,22,Köln,Bundesliga,14.2,2001,0,4,"FW,MF",28,18,39.1,57,0,39,23,21,8,3,0,1,1,4
0118c54c,Anthony Caci,26,Mainz 05,Bundesliga,27.6,1997,0,8,DF,29,29,50.0,173,0,73,15,34,32,0,0,1,0,23
011b2a32,Trevis Dago,18,Lille,Ligue 1,0.3,2005,0,1,"FW,MF",1,1,50.0,1,0,1,1,2,1,0,0,0,0,0
0127419a,Ianis Hagi,24,Alavés,La Liga,8.9,1998,0,3,"MF,FW",11,13,54.2,33,0,54,19,13,5,1,0,0,0,12
016ff750,Valentino Lazaro,27,Torino,Serie A,22.2,1996,0,3,"DF,MF",20,14,41.2,103,0,127,10,12,8,1,0,0,0,11
017018d1,Fabian Holland,33,Darmstadt 98,Bundesliga,20.4,1990,1,4,"MF,DF",24,9,27.3,103,0,26,33,34,24,1,0,0,0,26
0174ba21,Robin Hack,24,Gladbach,Bundesliga,15.0,1998,0,2,"FW,MF",22,16,42.1,79,0,44,22,17,14,9,0,0,0,8
01834aa0,Sebastiaan Bornauw,24,Wolfsburg,Bundesliga,15.9,1999,0,5,DF,24,29,54.7,66,0,1,5,27,18,1,2,0,0,12
01870104,Mohamed Lamine Bayo,25,Le Havre,Ligue 1,15.4,1998,0,4,FW,42,36,46.2,30,0,8,13,14,2,7,0,0,0,5
01bb93d5,Nicolas Paz,18,Real Madrid,La Liga,0.3,2004,0,0,"MF,FW",0,1,100.0,2,0,1,0,1,1,0,0,0,0,0
01becd60,Alan Virginius,20,Clermont Foot,Ligue 1,10.4,2003,0,0,FW,15,4,21.1,15,0,22,6,4,3,4,0,0,1,5
01c3aff5,Weston McKennie,24,Juventus,Serie A,28.8,1998,0,6,"MF,DF",34,37,52.1,115,0,59,12,23,18,6,0,0,0,29
01ce9e70,Kieffer Moore,30,Bournemouth,Premier League,1.2,1992,0,0,"FW,MF",6,6,50.0,4,0,2,2,5,0,0,0,0,0,0
01da7812,Myrto Uzuni,28,Granada,La Liga,27.2,1995,0,3,FW,59,11,15.7,59,0,11,19,26,4,18,0,0,0,14
01e5f06e,Sergio Gomez,22,Manchester City,Premier League,0.6,2000,0,0,"FW,MF",1,0,0.0,1,0,4,0,2,1,1,0,0,0,0
01eb744d,Angel Correa,28,Atlético Madrid,La Liga,17.0,1995,0,3,"FW,MF",13,5,27.8,63,0,40,32,24,2,17,0,0,0,15
01efac19,Antonin Barak,28,Fiorentina,Serie A,9.0,1994,0,2,"MF,FW",22,13,37.1,35,0,4,7,8,2,1,0,0,0,2
01fd01e8,Souleymane Toure,20,Lorient,Ligue 1,22.8,2003,0,6,DF,16,43,72.9,87,0,5,15,36,36,0,0,1,0,12
02319ad7,Jaime Mata,34,Getafe,La Liga,19.9,1988,1,10,"FW,MF",65,49,43.0,58,1,39,25,63,17,31,0,0,0,15
