Name,Played,Won,Draw,Lost,For,Against,Difference,Points,Form
Wimbledon M1,9,8,0,1,36,9,27,24,W W W W W
Surbiton M1,8,7,0,1,42,11,31,21,W W W W L
Old Georgians M1,8,7,0,1,34,5,29,21,W W L W W
Hampstead & Westminster M1,8,5,2,1,21,17,4,17,D D L W W
Holcombe M1,8,4,1,3,25,17,8,13,L D W W W
Oxted M1,8,3,1,4,15,27,-12,10,L W L D L
Brooklands Manchester University M1,7,1,3,3,14,29,-15,6,D D L D L
Durham University M1,8,2,0,6,7,30,-23,6,L L L W L
Beeston M1,8,1,2,5,15,26,-11,5,D W L L L
East Grinstead M1,8,1,1,6,13,30,-17,4,L L L L W
University of Exeter M1,8,0,0,8,11,32,-21,0,L L L L L
