GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0042000406,7,101108,Chris Paul,1610612756,Phoenix Suns,1,11,40,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,49,189,1,0,20210720,MIL,PHX
Shot Chart Detail,0042000406,10,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,11,21,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-189,44,1,0,20210720,MIL,PHX
Shot Chart Detail,0042000406,12,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,11,14,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,41,1,0,20210720,MIL,PHX
Shot Chart Detail,0042000406,15,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,11,6,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,24,1,1,20210720,MIL,PHX
Shot Chart Detail,0042000406,17,1626164,Devin Booker,1610612756,Phoenix Suns,1,10,48,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,84,121,1,1,20210720,MIL,PHX
Shot Chart Detail,0042000406,18,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,10,24,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-137,18,1,0,20210720,MIL,PHX
Shot Chart Detail,0042000406,21,1626164,Devin Booker,1610612756,Phoenix Suns,1,10,13,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,117,239,1,0,20210720,MIL,PHX
Shot Chart Detail,0042000406,23,203109,Jae Crowder,1610612756,Phoenix Suns,1,10,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-113,236,1,0,20210720,MIL,PHX
Shot Chart Detail,0042000406,27,101108,Chris Paul,1610612756,Phoenix Suns,1,9,43,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,8,144,1,0,20210720,MIL,PHX
Shot Chart Detail,0042000406,33,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,9,20,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-82,260,1,0,20210720,MIL,PHX
